,가수,노래 제목,노래 가사
125,웬디 (WENDY),What If Love,모르는 것 투성이 솔직히 난 어려워 umm 타이밍 그게 뭔지 왜 멋대로 꼬이는지 걸음이 느린 내 맘이 힘을 내서 널 쫓아왔어 한 발짝 닿는 곳에 내가 있어 뭘 망설이니 Ooh love love is 뭘까 what is love Ooh love 어떡할까 what if love 아마도 나는 널 one one one my one the only one one one you are If this is love love love if love 어떡할까 어떡할까 what if this is the love 한참을 널 바라봐 내 맘과 똑같을까 uhm 역시 잘 모르겠어 여전히 참 어려워 걸음이 느린 내 맘이 힘을 내서 널 쫓아왔어 한 발짝 닿는 곳에 네가 있어 뭘 망설이니 Ooh love love is 뭘까 what is love Ooh love 어떡할까 what if love 아마도 나는 널 one one one my one the only one one one you are If this is love love love if love 어떡할까 어떡할까 안개가 가득한 너와 나 사이엔 분명한 게 하나 없잖아 나 너를 원하면 간절히 바라면 결국엔 나 너에게 닿을 수 있을까 one one one my one the only one one one you are this is the love love love I know this is the love this is the love I know this is the love
126,"레이나 (Raina), 송유빈",LOVE IS DANGER,늘 달콤한 네 눈빛 늘 달콤한 네 말투 날 사랑한다 말해줬으면 늘 상큼한 네 미소 늘 상큼한 네 향기 에 빠져서 나 정신못차려 woo every day woo every night 널 바라볼때 사랑에 빠져 나도 모르게 woo every day woo every night 널 바라보면 심장이 쿵쿵대 나도 모르게 또 love is danger love love love 넌 조금 두렵겠지만 love love love 날 사랑한다 말해준다면 내가 더 다가갈게 그자리에 계속 서 있어줘 always love you love love love 널 사랑한다 말해줄게 love love love 우리 계속 사랑하면 널 바라보는 내가 언제나 언제나 항상 사랑한다고 해줄게 woo every day woo every night 늘 보고 싶어 항상 내 곁에 함께 해줄래 woo every day woo every night 널 마주하면 심장이 쿵쿵대 나도 모르게 또 love is danger love love love 넌 조금 두렵겠지만 love love love 날 사랑한다 말해준다면 내가 더 다가갈게 그자리에 계속 서 있어줘 always love you love love love 널 사랑한다 말해줄게 love love love 우리 계속 사랑하면 널 바라보는 내가 언제나 언제나 항상 사랑한다고 해줄게 You you never believe in love 받은 상처들이 많아서 하지만 내가 지켜줄게 You you never believe in love 내가 행복하게 해줄게 love love love love love love 날 사랑한다 말해줄래 love love love 우리 계속 사랑하면 널 바라보는 내가 이렇게 이렇게 항상 사랑한다고 해줄게
127,"V.O.S, 신유미",Beautiful Life,변해버린 내 모습에 놀라 잘라버린 긴 머리까지 이렇게도 꽤나 괜찮을 줄 나도 정말 몰랐었죠 더 좋은 사람이 돼야죠 눈부신 그대 나를 보아요 아름다운 그대 눈빛에 내 전부를 맹세하죠 이제야 사랑이란 걸 알아가 행복이란 걸 느껴 가요 I feel the love 당신의 진심 어린 그 미소에 깨어나는 내 안에 숨었던 세상 You are my life 밤새 우리에게 비춰준 별들도 이젠 사랑을 나누죠 행복만 가득한 이 곳에 지금 다시 태어난 거죠 Oh I believe 당신을 위해서 나 내가 꿈꿔왔던 세상을 모두 선물할게요 이제야 사랑이란 걸 알아가 행복이란 걸 느껴 가요 I feel the love 당신의 진심 어린 그 미소에 깨어나는 내 안에 숨었던 세상 You are my life You are my soul 내가 살아갈 이유 내 앞에 달라져 가는 나의 꿈들이 그대 가슴 안에 살아 숨쉬죠 In my heart 마음으로 마음으로 소원으로 그 소원 하늘 향해 I can fly 기도해요 Forever 그대와 나 그대와 나 그대와 나 저 파란 하늘 아래서 행복한 당신을 위해 속삭여요 My love 사랑해요 I feel the love 내 삶이 끝날 때까지 함께 할 시간 속에서 I can't live without your love I can't live without your love 이제야 사랑이란 걸 알아가 행복이란 걸 느껴 가요 I feel the love 내 삶이 끝날 때까지 함께 할 시간 속에서 I can't live without your love I can't live without your love Love of my life You are my life You are my life You are my soul Beautiful life You are my love You are my love You are my love You are my love
128,거미,꿈에 (소녀의 순정 코스모스),꿈에 어제 꿈에 보았던 이름 모를 너를 나는 못 잊어 본 적도 없고 이름도 모르는 지난 꿈 스쳐간 여인이여 이 밤에 곰곰이 생각 해보니 어디선가 본 듯한 바로 그 모습 떠오르는 모습 잊었었던 사랑 어느 해 만났던 연인이여 어느 가을 만났던 사람이여 난 눈을 뜨면 꿈에서 깰까봐 나 눈 못 뜨고 그대를 보네 물거품처럼 깨져버린 내 꿈이여 오늘 밤에 그대여 와요 어느 가을 만났던 사람이여 난 눈을 뜨면 난 눈을 뜨면 꿈에서 깰까봐 나 눈 못 뜨고 그대를 보네 물거품처럼 깨져버린 내 꿈이여 오늘 밤에 그대여 와요 오 내 꿈에 내 꿈으로 난 눈을 뜨면 사라지는 사람이여 나 눈 못 뜨고 그대를 보네 물거품처럼 깨져버린 내 꿈이여 오늘 밤에 그대여 와요 그대여 와요
129,양다일,꿈,어느새 눈을 떠보니 지금 여기 도착해있어 내가 꿈꾸었던 만큼 모든 걸 즐길 준비가 돼 있어 적응에는 무뎌져서 오래 걸리진 않았어 우연히 바라본 이곳은 아름답지만은 않은 것 같아 순수했던 지난날의 바람들도 매일 밤 설치며 기대했던 날도 화려했던 꿈속 더는 내겐 없어 지금 이곳에 그런 곳은 없어 누군가 내게 말했어 잠에서 깰 때가 됐어 너도 적응하기 어려웠어 그때부터였었던 것 같아 순수했던 지난날의 바람들도 매일 밤 설치며 기대했던 날도 화려했던 꿈속 더는 내겐 없어 지금 이곳에 그런 곳은 없어 오직 잠에 드는 순간 사랑 가득 그곳만이 나를 반겨주네 순수하게 노력했던 지난날들 힘들어도 잠 설치며 애쓴 밤도 더는 내게 없어 모든 데에 지쳤어 지금 이곳에 그런 것은 없어 지금 이곳에 그런 나는
130,백지영,My Light,어둠이 내려오는 밤 앞이 보이지 않아서 난 어디로 가야 할지 알 수가 없어 온 세상이 고요해져 스치는 바람도 괜히 두려워져 희미한 불빛이 보여 혹시 날 기다린 건 아닌지 나의 발걸음이 네게 닿기를 내가 찾아갈게 My light My light 더 헤매이지 않게 Moonlight Starlight 내 빛이 되어 줘 반짝이는 빛을 따라 걷다 보면 네가 이 길 끝에 있을 것 같아 My light 별 하나 뜨지 않은 밤 별을 따라서 숨은 달 빈 하늘을 바라보다 울컥 눈물이 나 하늘도 나처럼 혼자인 걸까 나 눈물을 흘리듯 비 내리는 걸까 희미한 불빛이 보여 혹시 날 기다린 건 아닌지 나의 발걸음이 네게 닿기를 내가 찾아갈게 My light My light 더 헤매이지 않게 Moonlight Starlight 내 빛이 되어 줘 반짝이는 빛을 따라 걷다 보면 네가 이 길 끝에 있을 것 같아 My light 처음부터 우린 슬픔을 알았는지 몰라 운명처럼 다시 만날 수 있을까 내가 찾아갈게 My light My light 더 헤매이지 않게 Moonlight Starlight 이 길을 비춰 줘 무엇보다 니가 오래 더 빛날 수 있게 내 품에 안아 줄게 이제 외롭지 않게
131,알리 (ALi),Hold me …,무엇도 들리지않아 이 고요속에 너와 나 둘만이 있어 오로지 심장소리만이 우리를 감싸 이대로 두눈을 감아 hold me 내손을 잡아줘 혼자 견뎌왔던 이 시간속에서 hold me now 내편이 되어줘 다가올 시간도 함께라면 그 무엇도 두렵지가 않아 이제는 내게 하나의 의미가 되어 하루를 살아가게하네 날 지워가는 이것도 행복인걸까 hold me 내손을 잡아줘 혼자 견뎌왔던 이 시간속에서 hold me now 내편이 되어줘 다가올 시간도 함께라면 내모든걸 보여줘도 괜찮을만큼 믿어야만 하는 너를 love you love you woo hold me now 내 과거속에 내 현실속에 내 미래속에 너만을 가둬둘래 그 무엇도 두렵지가 않아 이 고요속에 너와 나 둘만이 있어 오로지 심장소리만이 우리를 감싸 이대로 두눈을 감아
132,제로,세상엔 없는 사랑,바람되어 너의 머리결을 흩어놓고 날 알려도 너는 그냥 스쳐지나는 바람인줄로만 알지 그게 나였는데 비되어 너의 옷깃을 적시는 내 눈물도 너는 그냥 내린 비로만 알지 이 노랠 듣는 지금도 알아채지 못하고 너를 위한 노랜줄도 모르지 비록 함께 할 순 없지만 너를 볼 수 있는 곳에서 세상으로부터 널 지킬거야 그저 마음으로 밖에는 사랑할 수 없다 하여도 세상에 없는 사랑 난 너에게 바칠거야 널 위해 죽어도 좋은 그런 사람 있다면 행복할것 같단 얘기 했었니 그럼 넌 행복한거야 이미 가졌으니까 그보다 더 한것도 난 괜찮아 비록 함께 할 순 없지만 너를 볼 수 있는 곳에서 세상으로부터 널 지킬거야 그저 마음으로 밖에는 사랑할 수 없다 하여도 세상에 없는 사랑 난 너에게 하늘마저 내맘 너에게 가르쳐줄 길이 없나봐 세상에 없는 사랑 난 이렇게 지킬거야
133,이정봉,그녀를 위해,사랑한다면 그녈 위하고 싶다면 그녀를 떠나줘요 우린 한여잘 사랑하지만 나는 당신관 달라 당신은 당신이 가진것 모두를 버리고 그녀를 택할 용기 있나요 정말로 그럴수 있다면 내가 물러나요 당신이 아닌 그녀를 위해 매일밤 그녀가 술에 기대 서럽게 우는것을 아나요 그녀에게도 잘못은 있지만 난 당신이 더 미워 앙상한 나무가지처럼 그녀의 마음이 변해가는게 안보이나요 왜 그녈 아프게 하나요 왜 상처 주나요 모든게 당신 때문이야  그녀의 웃는 얼굴 얼마나 고왔는지 당신은 알기나 해 아냔말야  당신은 그녀에게 뭐든 해줄수 있는게 뭐가 있나요 말을 해봐요 떠나줘요 그녈위해 제발 그녀를 놓아 주세요 예전처럼 웃을수 있게 알잖아요 사랑이란 상처가 크면 추억까지도 짐이되어 비틀거려요 당신이 가진것 모두를 버리고 그녀를 택할 용기 있나요 정말로 그럴수 있다면 내가 물러나요 당신이 아닌 그녀를 위해 당신이 가진것 모두를 버리고 그녀를 택할 용기 있나요 정말로 그럴수 있다면 내가 물러나요 당신이 아닌 그녀를 위해
134,포지션,Remember,나 한심해 보여도 나름대로 많이 생각한거야 나 사랑했었다고 자신있게 말할 필요는 없어 누가 먼저 이별하는 것이 자존심을 지키는거니 이젠 필요없잖아 내가 아닌 다른 누구를 넌 사랑하고 있는데 모든게 거짓처럼 내게 들릴뿐 미안하다 말은 하지마 날위해 떠난다는 그말 한마디 끝까지 얘기하지 말아줘 하지만 난 너를위해 준비한거야 이제 나를 떠날수있어 내가 먼저 이런얘기 하고싶은건 널 잊기 위해서니까  너무나도 미안한듯 하면 다른 생각하고있는너 그냥 볼순 없잖아 내가 아닌 다른 누구를 넌 사랑하고 있는데 모든게 거짓처럼 내게 들릴뿐 미안하다 말은 하지마 날위해 떠난다는 그말 한마디 끝까지 얘기하지 말아줘 하지만 난 너를위해 준비한거야 이제 나를 떠날수있어 내가 먼저 이런얘기 하고싶은건 널 잊기 위해서니까 하지만 난 너를 위해 준비한거야 이제 너를 보낼수 있어 내가먼저 이런얘기 하고 싶은건 나 이제 사랑이 싫어
135,신용재 (2F),걸음이 느려서,끝도 없이 내리는 비처럼 그대가 가슴 깊이 내리죠 셀 수 없는 모래처럼 내 맘 가득 찬 그대입니다 외롭던 날들 뒤척인 눈물들 추억에 실어 웃으며 보내요 걸음이 느려서 내 맘이 느려서 닿을 듯 그대인 걸 참 멀리 돌아왔죠 그래서 아프고 그래서 그리운 웃어도 눈물 나는 내 사랑이죠 시간이 멈춰도 가슴이 멈춰도 거짓말처럼 또 내 품에 살겠죠 사랑해요 내 심장이 뛰는 그대만큼 외롭던 날들 뒤척인 눈물들 추억에 실어 웃으며 보내요 걸음이 느려서 내 맘이 느려서 닿을 듯 그대인 걸 참 멀리 돌아왔죠 그래서 아프고 그래서 그리운 웃어도 눈물 나는 내 사랑이죠 시간이 멈춰도 가슴이 멈춰도 거짓말처럼 또 내 품에 살겠죠 사랑해요 내 심장이 뛰는 그대만큼 그댄 웃어요 눈물은 날 줘요 그게 내 행복이니까 다시는 없겠죠 죽어도 없겠죠 가슴을 토해도 그 자리인 사람 사랑해요 내 심장이 뛰는 그대만큼
136,윤지영,다 지나간 일들을,다 지나간 일들을 또 오지 않을 날들을 기다리는 게 얼마나 바보 같은지 내가 좀 더 기억에서 자유로울 수 있다면 난 아마 한 달도 넘는 시간을 벌었을 거야 다 지나간 일들을 또 오지 않을 날들을 기다리는 게 얼마나 바보 같은지 늘 과거에 살았네 내가 변해가는 게 내가 잊어가는 게 정말 끝은 아닐까 정말 끝은 아닐까 앞으로 가면 다 사라질 텐데 내가 좀 더 기억에서 자유로울 수 있다면 난 아마 한 달도 넘는 시간을 벌었을 거야 다 지나간 일들을 또 오지 않을 날들을 기다리는 게 얼마나 바보 같은지
137,어쿠루브,그냥 다 미안,많이 힘들었잖아 우리 매일 서로 다투고 못난 얼굴을 하고 내 옆에 있어주던 너를 당연한 줄 알았어 그게 내 실수였어 니가 영원히 날 사랑해줄 것만 같았어 널 생각해 넌 울었을 거야 힘들다는 말을 했어야지 바보같이 아무것도 몰랐던 내가 싫어 죽겠어 널 생각해 무책임하다고 싫어했던 말 위로가 되지 않는 말인 거 알지만 그냥 다 내가 미안 미안해 노을이 예뻤었던 그날 어두웠던 니 표정 눈치채진 못했어 솔직히 나도 피곤해서 집에 가고 싶었어 그게 내 실수였어 이게 마지막 니 모습일 줄은 난 몰랐어 널 생각해 넌 울었을 거야 힘들다는 말을 했어야지 바보같이 아무것도 몰랐던 내가 싫어 죽겠어 널 생각해 무책임하다고 싫어했던 말 위로가 되지 않는 말인 거 알지만 그냥 다 내가 미안 나 같은 사람 꼭 지워버려 생각하는 시간이 아까워 다정하고 따뜻한 사람을 만나서 충분히 사랑 받으면서 잘 살아 널 생각해 넌 울었을 거야 힘들다는 말을 했어야지 바보같이 아무것도 몰랐던 내가 싫어 죽겠어 널 생각해 무책임 하다고 싫어했던 말 위로가 되지 않는 말인 거 알지만 그냥 다 내가 미안 미안해
138,Sondia,꿈에,꿈에 어제 꿈에 보았던 이름 모를 너를 나는 못 잊어 본적도 없고 이름도 모르는 지난 꿈 스쳐간 연인이여 이 밤에 곰곰이 생각해보니 어디선가 본듯한 바로 그 모습 떠오르는 모습 잊었었던 사람 어느 해 만났던 연인이여 어느 가을 만났던 사람이여 난 눈을 뜨면 꿈에서 깰까 봐 난 눈 못 뜨고 그대를 보네 물거품처럼 깨져버린 내 꿈이여 오늘 밤엔 그대여 와요 난 눈을 뜨면 사라지는 사람이여 난 눈 못 뜨고 그대를 또 보네 물거품처럼 깨져버린 내 꿈이여 오늘 밤에 그대여 와요 어느 가을 만났던 사람이여 난 눈을 뜨면 꿈에서 깰까 봐 난 눈 못 뜨고 그대를 보네 물거품처럼 깨져버린 내 꿈이여 오늘 밤엔 그대여 와요 난 눈을 뜨면 사라지는 사람이여 난 눈 못 뜨고 그대를 또 보네 물거품처럼 깨져버린 내 꿈이여 오늘 밤에 그대여 와요
139,김현철,달의 몰락,달이 진다 달이 진다 달이 진다 달이 진다 나를 처음 만났을 때도 그녀는 나에게 말했지 탐스럽고 이쁜 저 이쁜 달 나랑 매일 만날 때에도 그녀는 나에게 말했어 탐스럽고 이쁜 달이 좋아 그녀가 좋아하던 저 달이 그녀가 사랑하던 저 달이 지네 달이 몰락하고 있네 나를 무참히 차 버릴 때도 그녀는 나에게 말했지 탐스럽고 이쁜 저 이쁜 달 나랑 완전히 끝난 후에도 누군가에게 말하겠지 탐스럽고 이쁜 달이 좋아 그녀가 좋아하던 저 달이 그녀가 사랑하던 저 달이 지네 달이 몰락하고 있네 그녀가 좋아하던 저 달이 그녀가 사랑하던 저 달이 지네 달이 몰락하고 있네 그녀가 좋아하던 저 달이 그녀가 사랑하던 저 달이 지네 달이 몰락하고 있네 나도 그녀를 잊을 수 있다면
140,Ab 에비뉴,사랑 둘이서..,사랑에 미치면 그 사랑 다 주면 그렇게 되나봐 정말 사랑해도 끝나나봐 아무리 소리쳐봐도 눈물로 말을 해봐도 이별을 난 이길 수 없더라 가슴이 아프다 우리가 왜 끝내요 우리가 왜 이래요 도대체 왜 그래요 어제만해도 안그랬었는데 잠도 안오고 숨도 못쉬겠고 그래요 나는 내가 뭘 잘못했죠 다른 사람 있나요 아니면 왜 그래요 오늘만해도 웃어줬잖아요 바보죠 나 몰라서 그랬나봐요 잘 몰랐어요 사랑에 미치면 그 사랑 다 주면 그렇게 되나봐 정말 사랑해도 끝나나봐 아무리 소리쳐봐도 눈물로 말을 해봐도 이별을 난 이길 수 없더라 가슴이 아프다 그대가 난 좋아요 그대 하나뿐이죠 그런데 왜 그래요 혹시나 내가 싫어진건가요 말도 못하고 자꾸 답답해요 그래요 나는 뭐라고 좀 해봐요 이러다 나 미쳐요 차라리 날 욕해요 여기서 우리 끝내면 안되요 내 맘은 그대처럼 모질지 못해 난 잘안되요 사랑에 미치면 그 사랑 다 주면 그렇게 되나봐 정말 사랑해도 끝나나봐 아무리 소리쳐봐도 눈물로 말을 해봐도 이별을 난 이길 수 없더라 가슴이 아프다 사랑에 미쳐서 내 모든 걸 주고 이렇게 됐나봐 조금 아껴둘걸 그랬나봐 잘하지말걸 그랬어 믿지도 말걸 그랬어 너 하나를 버릴 수 없더라 넌 나의 전부야
141,유재하,우울한 편지,일부러 그랬는지 잊어버렸는지 가방안 깊숙이 넣어두었다가 헤어지려고 할때 그제서야 네게 주려고 쓴 편질 꺼냈네 집으로 돌아와서 천천히 펴보니 예쁜 종이 위에 써내려간 글씨 한줄 한줄 또 한줄 새기면서 나의 거짓 없는 맘을 띄웠네 나를 바라볼 때 눈물 짓나요 마주친 그 눈이 눈물겹나요 그럼 아무 말도 필요없이 서로를 믿어요 나를 바라볼 때 눈물 짓나요 마주친 그 눈이 눈물겹나요 그럼 아무 말도 필요없이 서로를 믿어요 어리숙하다 해도 나약하다 해도 강인하다 해도 지혜롭다 해도 그대는 아는가요 아는가요 내겐 아무 관계 없다는 것을 우울한 편진 이젠
142,비스트,Butterfly,불어오는 바람에 흔들린 건 네 잘못이 아냐 널 잡아주지 못한 건 나니까 미안해 하지 마 보잘 것 없는 내게 날아와 따스한 온기를 나눠 준 너 이젠 모두 다 식었지만 여전히 고마운 마음뿐이야 부디 오래 걸리지 않길 아무리 멀어도 내가 널 볼 수 있게 난 그거 하나면 괜찮아 넌 아름답게 날아가 My butterfly my butterfly my butterfly 부디 오래 걸리지 않길 걱정하지 마 그냥 예전으로 돌아온 것 뿐이야 네가 오기 전 내 세상은 원래 어두웠으니까 아무리 참아내려고 해도 되지 않는 게 있다면 널 부르는 입술이 참 밉고도 안쓰러울 뿐이야 부디 오래 걸리지 않길 아무리 멀어도 내가 널 볼 수 있게 난 그거 하나면 괜찮아 넌 아름답게 날아가 My butterfly my butterfly my butterfly 부디 오래 걸리지 않길 정말 괜찮다고 쓰러지려는 마음을 일으켜 세우고 실은 아무것도 버리지 못한 나약한 나라고 제발 돌아와 날 떠나지 마 쉬운 말조차도 할 수 없는 건 내게서 벗어난 너의 날갯짓이 너무 아름다워서 부디 오래 걸리지 않길 아무리 멀어도 내가 널 볼 수 있게 난 그거 하나면 괜찮아 넌 아름답게 날아가 My butterfly my butterfly my butterfly 부디 오래 걸리지 않길
143,더보이즈 (THE BOYZ),Butterfly (몽중),Hey girl 눈을 떠 마주 닿았던 입술을 뗀 순간 좀 더 선명하게 눈부신 오늘이 시작될 거야 빛으로 번진 공중 아직 여전한 몽중 눈 뜨면 꿈은 깨져버릴 환상일 거라고 하더니 눈앞에 왜 넌 더 황홀한 꿈같은 Irony 살랑이는 바람 사이를 너와 날아다녀 부드러운 구름 위에 앉아 Cuz you’re a Butterfly I can’t describe 아직 꿈인지 또 눈을 감아 일렁이는 두 눈 속에 서롤 바라보며 길을 잃고 헤매봐 Together Just like we’re Butterflies When I look in your eyes 온통 날 물들인 너로 아른거려 girl Tell me baby 네 입술로 말해줘 눈을 뜨면 그곳이 그 어디쯤이라 해도 가까이 너의 맘이 내게 닿도록 함께일 거라고 어서 빛으로 물든 노을 나는 너의 두 손을 한시도 놓지 않고 좀 더 높은 곳에 날아갈 테니 한치도 내 곁을 떨어지지 말고 Follow me yeah 살랑이는 바람 사이를 너와 날아다녀 부드러운 구름 위에 앉아 Cuz you’re a Butterfly I can’t describe 아직 꿈인지 또 눈을 감아 일렁이는 두 눈 속에 서롤 바라보며 길을 잃고 헤매봐 Together Just like we’re Butterflies When I look in your eyes 온통 날 물들인 너로 아른거려 girl Would you be my Butterfly Would you be my Butterfly Would you be my Butterfly Baby baby 너무 아름다워 My Butterfly Take me take me take me 어디든 나를 데려가 You're the only one Wanna give you my love 가까이 와서 내 어깨에 기대 쉬어 There’s no way out 달콤한 향을 따라와 이젠 내가 이끌어 oh Everything’s gonna be alright Cuz girl you gave me butterfly 함께라면 어디라도 걸어가 줄 두 손잡은 너와 나 이 순간 꿈이 아냐 Dreams come true 향기로운 꽃잎 사이를 너와 날아다녀 불어오는 숨결마저 달아 Cuz you you’re a Butterfly I can’t describe 아직 꿈인지 또 눈을 떠 봐 간지러운 손길로 날 가만히 안으며 오래도록 머물러 Together Just like we’re Butterflies When I look in your eyes 너라면 어디든 더는 상관없어 girl Would you be my Butterfly Would you be my Butterfly Would you be my Butterfly Would you be my Butterfly
144,최성원,제주도의 푸른밤,떠나요 둘이서 모든 것 훌훌 버리고 제주도 푸른 밤 그 별 아래 이제는 더 이상 얽매이긴 우린 싫어요 신문에 TV에 월급 봉투에 아파트 담벼락 보다는 바달 볼 수 있는 창문이 좋아요 낑깡밭 일구고 감귤도 우리 둘이 가꿔봐요 정말로 그대가 외롭다고 느껴진다면 떠나요 제주도 푸른 밤 하늘 아래로 떠나요 둘이서 힘들게 별로 없어요 제주도 푸른 밤 그 별 아래 그동안 우리는 오랫동안 지쳤잖아요 술집에 카페에 많은 사람에 도시의 침묵보다는 바다의 속삭임이 좋아요 신혼부부 밀려와 똑같은 사진 찍기 구경하며 정말로 그대가 재미없다 느껴진다면 떠나요 제주도 푸르메가 살고 있는 곳
145,안예은,어쩌다보니,어쩌다보니 우린 서로 사랑하고 있게 됐어 작은 공통점도 커다란 차이점도 없었어 서로의 눈을 보면 괜히 웃음이 나고 그냥 좋았어 우우우 우우 우 우우우 우우 우 우우우 우우 우 우우우 우우 우 어쩌다보니 우린 서로 사랑하고 있게 됐어 정신 차려보니 어느새 손을 맞잡고 있었어 우린 우리가 만났던 그 날의 더위처럼 타올랐어 우린 아무도 꺼트릴 수 없는 커다란 불씨였어 우린 우린 사랑은 서툰 발걸음으로 잡힐 듯 다가와서 느리게 뒷걸음질 쳐 서로가 서툰 손짓으로 품에 담으려다가 손 틈 사이로 놓치고 말아 우우우 우우 우 우우우 우우 우 우우우 우우 우 우우우 우우 우 지워도 지워도 너는 그대로인데 치워도 치워도 너는 그대로인데 아무것도 변한 게 없어 내 맘 속에서 네가 나가지를 않아 새까만 멍 자국이 점점 커졌어 우린 언제나 부서질 수 있는 작은 모래성이었어 우린 한 순간 녹아 내리는 차가운 눈사람이었어 우린 바람만 불면 날아가는 힘 없는 불씨였어 우린 우린 사랑은 서툰 발걸음으로 잡힐 듯 다가와서 느리게 뒷걸음질 쳐 인연이 아니었다고 애써 외면해보고 소리쳐봐도 눈물만 남아 어쩌다보니 우린 멀어지게 됐어 어쩌다보니 우린 헤어지게 됐어
146,산들,빗소리,일을 끝마치고 난 후에 혼자인 내가 너무 어색해 오늘 내 공간 속에서 네가 참을 수 없이 더 크게 다가온다 비에 젖은 도로 위에 차 소리 창을 스치는 조용한 빗물 소리 내 공간엔 빗소리만 가득하네 이제 알겠어 너가 떠난걸 빗줄긴 갈수록 약해지네요 그런데 왜 내 마음속에선 더 크게 우는지 내리던 이 비가 나에게로 흘러온 건가 봐요 지우려다 널 잊으려다 운다 텅 빈 공간 속에 혼자 놓여진거니깐 고요한 공기마저 무거워져 우리가 수 놓았던 많은 날들 그 추억들에 다시 젖는다 빗줄긴 갈수록 약해지네요 그런데 왜 내 마음속에선 더 크게 우는지 내리던 이 비가 우리 추억들을 가져다 주었기에 너가 아니면 난 안 되잖아요 돌아선 그대가 참 미워지네요 나보다 행복하지 않았음 해요 그댈 잊으려고 나 눈물로 또 하루를 보냈기에 빗속에서 나 혼자 운다 널 지우려다 널 잊으려다 운다
147,첸 (CHEN),고운 그대는 시들지 않으리,둘이 거닐던 거리에 노을 짙어져가면 잠시 내 두 눈에 담아서 그댈 기억해요 눈이 내리던 거리에 그대 떠나보내고 작은 흔적들만 남아서 나를 울게 해요 고운 두 눈에 맺힌 이슬방울을 어제 따온 구름 조각에 담아서 그대 마음이 혹시 말라갈 때면 꼭 짜서 다시 적셔줄게요 눈이 쌓이는 계절이 다시 돌아온다면 많이 힘겨웠던 그날이 나를 울게 해요 그댄 어디 있나요 그댄 어디 있나요 그대의 지친 맘을 꼭 안아주려 해요 고운 두 눈에 맺힌 이슬방울을 어제 따온 구름 조각에 담아서 그대 마음이 혹시 말라갈 때면 꼭 짜서 다시 적셔줄게요 그대 마음이 혹시 말라갈 때면 꼭 내가 다시 적셔줄게요
148,Red Velvet (레드벨벳),Remember Forever,세상이 잠든 듯이 불이 꺼진 밤 이젠 모두 추억이 돼 함께였던 꿈들은 아름다워 이 길 위에 하나 둘 스며  한여름 밤의 꿈인 듯해 주문에 걸린 걸까 아직 내 마음엔 설레이게 다 빛나는데 환상처럼 저물고 있어  즐거웠던 축제의 밤 사랑에 빠졌던 행복한 꿈 이 밤이 이대로 끝없이 이어지길 작은 소원을 빌게 되는 걸  마치 왈츠처럼 사뿐히 달리던 목마들도 반짝이던 관람차도 다 소리 없이 멈춰 몰래 축젠 끝나가지만 이대로 날 잊지 마 약속해 우린 다시 만날 거라고  잊을 수 없는 꿈인 듯해 주문에 걸린 걸까 아직 내 마음엔 설레이게 다 빛나는데 환상처럼 저물고 있어  즐거웠던 축제의 끝 네 손을 잡고 돌아오는 길 이 길이 이대로 끝없이 이어지길 자꾸 걸음이 느려지는 걸  바라봐 줘 변함없이 내게 푹 빠졌던 그날의 눈빛처럼 저 불꽃처럼 찬란했고 아름다웠었던 이 여름 Remember foReVer  반짝이던 우리의 밤 네 손을 잡고 돌아오는 길 이 길이 이대로 끝없이 이어지길 자꾸 걸음이 느려지는 걸  즐거웠던 축제의 밤 사랑에 빠졌던 행복한 꿈 이 밤이 이대로 끝없이 이어지길 작은 소원을 빌게 되는 걸
149,이민혁,우리 그 밤에 웃은 것처럼,우리 그 밤에 웃은 것처럼 내게 한번 더 기회를 주면 안 되겠니 여전히 네가 너무 보고 싶은 걸 전화 좀 받아줄래 언제쯤 나는 알게 될까 우리 다퉜었던 많은 시간들 괜한 자존심에 차가운 말들로 너를 속상하게 했었지 근데 말야 사실 말야 내 맘은 그게 아니었는데 뒤돌아 가는 널 멀리 보내고 나서야 이렇게 또 후회하고 있어 우리 그 밤에 웃은 것처럼 내게 한번 더 기회를 주면 안 되겠니 여전히 네가 너무 보고 싶은 걸 전화 좀 받아줄래 음 근데 말야 이젠 말야 네 맘을 조금 알 것 같은데 어떻게 해야 널 다시 안을 수 있을까 난 널 기다리고 있어 우리 그 밤에 웃은 것처럼 내게 한번 더 다가와 주면 안 되겠니 여전히 네가 너무 보고 싶은 걸 전화 좀 받아줄래 그날 너의 맘은 어땠을까 네게 좋은 추억들만 전하고 싶었는데 이렇게 오늘도 난 슬퍼하는 걸 내 마음 좀 알아줄래 나에게 스며든 너의 그 사랑이 이렇게 큰 줄 난 왜 몰랐을까
