,가수,노래 제목,노래 가사
21,조순종,기억의 씨앗,잊은줄 알았는데 여전히 끝난게 아닌가요 아직 자리 잡고 남아있는 그대라는 씨앗 시간이 갈수록 더 선명한 그대의 기억 잊은줄 알았는데 여전히 끝난게 아닌가요 지금의 난 이미 행복하다고 혼자라는 기분도 괜찮아진걸요 그대도 이미 다른사람속에서 새롭게 살아가요 내게서 떠나요 지금의 난 이미 행복하다고 혼자라는 기분도 괜찮아진걸요 그대도 이미 다른사람속에서 새롭게 살아가요 내게서 떠나요 지금의 난 이미 행복하다고 혼자라는 기분도 괜찮아진걸요 그대도 이미 다른사람속에서 새롭게 살아가요 내게서 떠나요 잊은줄 알았는데 여전히 끝난게 아닌가요 아직 자리 잡고 남아있는 그대라는 씨앗 시간이 갈수록 더 선명한 그대의 기억 잊은줄 알았는데 여전히 끝난게 아닌가요
22,Marcato,쉽지않네요,처음 본 순간부터 그댈 어쩌면 나는 좋아하게 되었죠 무슨 이유인지 그댄 다른 사람과 조금은 달라 보여요 하지만 그대는 내가 다가갈 수록 뒷걸음만 치죠 혹시나 이대로 그대가 나를 떠나갈까 하고 난 두려운걸요 쉽지 않네요 그대를 바라보는 건 자꾸만 내 맘이 나를 앞질러가요 알고 있는데 조급해 하기 싫은데 어쩌면 나는 어쩔 수 없나 봐요 Woo Your charm has no way out Woo 그대에게 나는 너무 빠져버렸네요 어떻게 그대를 내게로 끌어올 수 있을지 고민해봤죠 혹시나 이 노랠 그대가 들어준다면 날 돌아보지 않을까요 쉽지 않네요 그대를 바라보는 건 자꾸만 내 맘을 밀어내려 하네요 알고 있는데 이미 너무 빠져 버렸는데 이젠 어떻게 손을 쓸 수 없네요 Woo Your charm has no way out Woo Come with me Come with me
23,시카 (Sica),당신만이 나의 밤,이 밤 당신께 묻고 싶어 오래오래 내게 머물렀던 그대의 이유를 이제는 대답해 줘요 오늘은 내게 말해줘요 오늘은 나 듣고 싶어 닿을 수 없는 곳에서 있긴 난 싫어요 모두 날 비웃을 때 혼자 남겨졌을 때 아프게도 눈물로 얼룩진 그 밤에 당신이 당신만이 서있다는 걸 난 알아 지나왔던 모든 게 참 힘겨워지는 날에 그날에 아무도 모르게 내 모든 밤들을 당신만이 알아주어서 그래서 내가 이렇게 내가 살아요 모두 날 비웃을 때 혼자 남겨졌을 때 아프게도 눈물로 얼룩진 그 밤을 당신이 당신만이 알아주어서 그래서 내가 이렇게 내가 살아요
24,샐러데이즈,"샐러데이즈 드디어 만나다 (feat.은림, 이충주)",부쩍대는 출근길 가파른 계단을 올라 엘리베이터에서 버튼을 누르네 사무실 입구 두번째 창가 자리에 않아 모닝 샐러드를 먹고 하루를 시작해 예쁜 날씨보다 더 예쁜 샐러데이즈 처음 가보지만 상쾌한 기분 샐러데이즈 가네 이런 저런 사는 일들 인터넷 신문을 보며 왠지 좋은 예감에 콧노래를 불러 어디선가 날아온 산뜻한 향기 맡으며 샐러데이즈 가네 예쁜 날씨보다 더 예쁜 샐러데이즈 처음 가보지만 상쾌한 기분 샐러데이즈 가네 눈감아도 떠오르는 그날들 내 인생 가장 풋풋했던 시절인걸 예쁜 날씨보다 더 예쁜 샐러데이즈 처음 가보지만 상쾌한 기분 샐러데이즈 가네
25,니쥬 (nijuu),IF,if I don’t die when I’m young and if I can get a chance to live till I become an old man with grey hair shall we come over the river where we’ve never been and do you wanna meet some people who we’ve never seen hold the water of the sea in your hands and get a piece of the cloud hold the soil of the land in your hands and drink a glass of rain it’s all yours it’s all yours it’s all yours it’s all yours if your eyes closed I could be your eyes I’ll walk by your side you don’t need to hide if your eyes closed I could be your eyes I’ll walk by your side you don’t need to hide hold a water of the sea in your hands and get a piece of the cloud hold a soil of the land in your hands and drink a glass of rain it’s all yours it’s all yours it’s all yours it’s all yours
26,스탠딩 에그,99 (바른 연애 길잡이 X 스탠딩 에그),좋아하는데 이유가 어딨어 마냥 좋은데 나도 모르게 준비도 없이 스며 드는데 고민하다가 하루가 다가 연락이 올 것 같은데 tonight 내 맘속의 넌 지금 뭐 해 넌 혹시 하고 싶은 말 너는 없는 걸까 말할 거야 난 지금 너와 난 내 느낌이 맞다면 시작될 것 같아 보고 싶은데 이유가 어딨어 떠오르는데 나도 모르게 아무 준비도 없이 스며드는데 고민하다가 하루가 다가 내가 먼저 연락할까 tonight 내 맘속의 넌 지금 뭐 해 넌 혹시 하고 싶은 말 너는 없는 걸까 말할 거야 난 지금 너와 난 내 느낌이 맞다면 시작될 것 같아 오늘도 말하지 않으면 그때 너의 그 표정을 다시 보게 될 테니 tonight 내 맘속의 넌 지금 뭐 해 넌 혹시 하고 싶은 말 너는 없는 걸까 말할 거야 난 지금 너와 난 내 느낌이 맞다면 시작될 것 같아 널 향한 나의 마음을 나도 잘 모르겠지만 꼭 말을 하고 싶었어 아무런 준비도 없고 일부러 찾지 않아도 사랑은 시작되나 봐
27,윤종신,끌림의 정체,체온이 달라지고 있어요 말이 빨라지고 있죠 입맛이 순식간에 사라져 내 모든 감각은 그대 You look so beautiful 단 1초도 안 걸려 끌림 그 이유 그 속엔 나의 역사가 녹아 있어 갑자기 불안해지려 해요 붕 하니 들떠 있어 자석을 만난 쇳조각처럼 그쪽을 향해 끌려가 몸이 더 빨라요 이성보다 굳이 설명할 수 없어 난 그렇게 태어나 버린 걸 너에게 한없이 끌려 You look so beautiful 단 1초도 안 걸려 끌림 그 이유 그 속엔 나의 역사가 녹아 있어 이제부터 난 고민에 빠져버려 어떡하면 너도 내게 끌리게 될까 갑작스레 느껴진 온몸의 변화는 어떡하던 너를 향해 이끌리듯 가는 게 My gene You look so fantastic You are so beautiful 순식간에 일어난 이 기분의 정체는 거역할 수 없는 Oh my gene Oh my gene
28,이민혁,"그렇게, 봄",세상이 멈춰버린 걸 웃고 있는 너를 본 순간 아득하게 그려온 날이 스쳐가 I'm falling in love 그 마음인 거야 헤어짐에 아파하던 그날 그대로 여기에 꼭 마주 선 우리 둘 사랑이 피어나 오래도록 함께 있어 줘요 생각이 많아진 듯한 표정 서로 미안해져 말했잖아 늘 여기 있겠다고 I believe in you 그 마음인 거야 망설이다 삼킨 그 말 이젠 말할게 여기에 꼭 마주 선 우리 둘 사랑이 피어나 처음처럼 함께 있어 줘요 가까이 다가와 줄래 혼자선 채울 수 없던 날들 벅차오르는 날 알아주기를 All love for you My heart be with you 더 새로운 거야 붉어진 네 눈을 보며 고백하는 말 모든 게 변해 가도 이대로 널 놓지 않을게 품에 가득 안고 속삭여줘 모든 날을 오늘처럼 너와
29,유해준,사랑하기 전에는,사랑하기 전에는 그대 사랑하기 전에는 사랑 아무것도 모르던 내가 나보다 더 소중한 세상 누구보다 소중한 그대를 만나서 가슴이 떨려 시간이 흘러가도 세상 모든 것이 변해도 변치 않을 오직 내 사랑 그대 아름다운 이 순간 항상 지금처럼 영원히 함께 행복하길 믿어요 우리 힘들면 내 손을 잡아요 어둠이 오면 내 품에 안겨요 영원토록 그대를 지켜 줄게요 내가 가진 사랑 모두 그대에게 사랑하기 전에는 그대를 많이 사랑하기 전에는 사랑 아무것도 모르던 내가 나보다 더 소중한 세상 누구보다 소중한 그대를 영원히 사랑합니다 힘들면 내 손을 잡아요 어둠이 오면 내 품에 안겨요 영원토록 그대를 지켜 줄게요 내가 가진 사랑 모두 그대에게 사랑하기 전에는 그대를 많이 사랑하기 전에는 사랑 아무것도 모르던 내가 나보다 더 소중한 세상 누구보다 소중한 그대를 영원히 사랑합니다 나보다 더 소중한 세상 누구보다 소중한 그대를 영원히 사랑합니다
30,안쏘,낙원 (Prod. Kiroy Y),내게 오는 길이 힘들어도 그댄 내색조차 않네요 지켜 주려는 그 맘 알아요 더 이상은 물러서요 내게 잘해주지 마요 희망을 주지 말아요 자꾸 욕심이 날까봐 얼마나 힘든데 I love you with out you 아프지 않게 I love you with out you 사랑할게요 늘 그랬듯 oh oh oh oh oh oh 슬픔은 다 지나가게 될 거야 oh oh oh oh oh oh 그대는 내 삶속에 낙원이죠 잡은 손을 뿌리쳐내 봐도 아무 소용이 없나 봐요 다시 내손 잡아준 그대를 나는 어떻게 하나요 길고 길었던 사랑에 소리 내서 울고 싶어 내겐 소중한 그 사람 안아주고 싶어 I love you with out you 아프지 않게 I love you with out you 사랑할게요 늘 그랬듯 oh oh oh oh oh oh 슬픔은 다 지나가게 될 거야 oh oh oh oh oh oh 그대는 내 삶속에 낙원이죠 돌아보게 돼 날 떠나지 않는 그대 얼굴에 가던 길 멈춰 더 이상 난 갈수가 없어 I love you with out you 아프지 않게 I love you with out you 사랑할게요 영원토록 oh oh oh oh oh oh 더 이상 혼자 두지 않을게요 oh oh oh oh oh oh 그대는 내 인생의 낙원이죠 낙원이죠
31,조조 (JOJO),넌 아니라 해도,뒤늦게 돌아본 나의 어린 시절이 이글거리던 나의 마음이 아무것도 아닌걸 지나간 너를 이내 부둥켜 안았다 우리가 만나 웃다 울며 돌아선 그때가 나의 뺨위로 조용히 흘러내려와 여린 마음에 우리가 못한 말들만 남아 다시 너를 부른다 이곳에 이제와 이 길에 다다른것 같아 숨이 차 조금 쉬었다 가면 참아왔었던 눈물이 차올라 나만이라도 더 참다가 이별이라 말할걸 그래 나만이라도 나만이라도 말할걸 사랑이 어떻게 억지로 되겠니 안그래 내가 모르겠는데 이런 맘으로 어떻게 널 만나 너만이라도 날 미워해 아니라고 말해줘 니가 아니라 해도 나는 그래도 괜찮아
32,더 브라더스 (The Brothers),내 진짜 마음,결국 너와 헤어지고 두 달 조금 넘어보니 조금은 마음이 무뎌져서 이런 생각 들었어 우리 정말 서로 너무 좋아해서 만난건데 그때 난 너에게 그렇게도 모질게 굴었을까 많이 좋아한단 말이 예쁘다는 말이 너만 본단 말이 내 진심인데 나 같은 애 곁에 있어줘서 고마워 내 진짜 마음은 그래 한번만 더 기횔주면 철이 들고 달라질게 어른스러워져서 널 지킬게 마지막 믿어주라 많이 좋아한단 말이 예쁘다는 말이 너만 본단 말이 내 진심인데 나 같은 애 곁에 있어줘서 고마워 내 진짜 마음은 그래 니가 술을 먹고 울면서 새벽에 전화가 와도 난 차가운 말투로 널 외면했던게 너무나 후회가 돼 만약에 헤어질 그 순간으로 갈 수 만 있다면 나 정말 온 힘을 다해 너를 꼭 붙잡을 거야 내 진심인데 나 같은 애 곁에 있어줘 고맙단 말야 내 진짜 마음 이잖아
33,포엔 (4&),유난한 봄날,네게 아픔은 없었으면 이 유난한 봄날에 그토록 눈부시던 너의 오늘은 여전히 찬란하겠지 따스한 바람 불어와 뜨거운 햇살 내게 닿아올 때에 안녕 이제야 건네보는 마지막 인사 우리 다시 마주한다면 웃어보기로 해 세상 모든 빛을 다 가진 듯한 너의 노래와 함께한다면 그 어떤 영화도 필요 없었어 너와 나의 날들엔 안녕 이제야 건네보는 마지막 인사 우리 다시 마주한다면 웃어보기로 해 누구도 듣지 않는 작은 새의 노랫소리만으로 충분했던 우리 그 유난한 봄날에 다시 만나면 우리 했던 그 약속처럼 웃어보기로 해
34,코다 브릿지,또 멀어질까봐...,왜 평소에 멀쩡하다가 왜 그대만 생각하면 왜 먹먹해지고 가슴 한켠이 아픈지 내 하루의 빈틈으로 빗물처럼 그대가 고여서 가슴마저 녹아내려 혼자 사랑을 어떡하죠 멀어질까봐 말을 못하죠 멀어질까봐 숨겨야하죠 비밀같아 너무 아픈 사랑도 있죠 꿈에서라도 만나고싶어 억지로 잠드는 사랑 부탁할께요 곁에만 있어요 한 걸음더 다가가면 바람처럼 날 떠나갈까봐 눈물 마저 참아 내요 혼자 사랑을 어떡하죠 멀어질까봐 말을 못하죠 멀어질까봐 숨겨야하죠 비밀같아 너무 아픈 사랑도 있죠 꿈에서라도 만나고싶어 억지로 잠드는 사랑 부탁할께요 곁에만 있어요 눈을 감아도 보여 이런 난 어떡하죠 꿈에서라도 가지고싶어 눈물에 잠드는 사랑 부탁할께요 곁에만 있어요 사랑해요
35,릴리모닝스타,Happiness,천천히 눈을 뜬 것 같은데 밖은 아직 밝아지지 않았어 툭 던진 너의 말 한 마디에 내 마음 속 창문을 열었다 닫았다 아쉬움을 삼키고 억지 웃음 지으며 괜찮지 않은 채로 넘겨버리진 말자 Happy Happiness 너없으면 느낄 수 없어 Happy Happiness 하고 싶으면 서운한 걸 말해봐 Happy Happiness 혼자는 의미없어 듣고 싶은 말 있으면 살며시 먼저해 봐 아쉬움을 감추고 아무렇지 않은 듯 괜찮지 않은 채로 흘려 보내진 말자 Happy Happiness 너없으면 느낄 수 없어 Happy Happiness 하고 싶으면 서운한 걸 말해봐 Happy Happiness 혼자는 의미없어 듣고 싶은 말 있으면 살며시 먼저해 봐 Happiness
36,안이숙,꽃잎,가사준비중
37,RABBIT MEDICAL DRUG,365일,매일 같은 일상에 현기증을 느껴 같은 시간 같은 공간에 똑같은 무기력함에 떠내려가네 떠나가네 항상 반복되는 시간과 걱정안에 허우적거리고 끝 없이 얽힌 잡념속에서 떠돌고돌아 돌고돌아 빙빙돌고도는 사계절 굴레속에 365일 365일 빙빙 돌고도는 자전하는 행성아래 365일 365일 늦은 저녁 비오는 강남거리에 거닐면 조명에비친 길 바닥에 발광하는 색 들을 봐라 불빛이 사라질때까지 꽉 막힌 인구 사이 그 누구 양보없이 주저하지 않고 제 갈길만 가네 빙빙돌고도는 사계절 굴레속에 365일 365일 빙빙 돌고도는 자전하는 행성아래 365일 365일 빙빙 돌고도는 자전하는 행성아래 365일 365일 숨막히는 온실 속 공기처럼 화초처럼 벗어나지 못한 뿌리박힌 관념처럼 관념처럼 숨막히는 온실 속 공기처럼 화초처럼 벗어나지 못한 뿌리박힌 관념처럼 빙빙돌고도는 사계절 굴레속에 365일 365일 빙빙 돌고도는 자전하는 행성아래 365일 365일
38,젤리프로젝트,너라면 좋아 (Feat. elppa),오늘은 어디가 너와 함께 있을 때면 아무 데나 괜찮아 산책이나 할까 우리 날씨도 좋으니까 어지러워 너의 향기 바람이 또 불어올 때 난 걷는 걸 제일 싫어하지만 너라면 좋아 널 껴안고 싶어 하루 종일 너에게 붙어있고 싶은데 잠깐만 멈춰봐 널 보고 싶어 네 손을 잡고 말해 하루 종일 너의 옆에 누워 너와 함께 있고 싶어 똑같은 하루인데 너와 있을 땐 좀 달라 내가 더 너에게 빠졌나 봐 내일은 또 어디 갈까 어제도 봤지만 너는 달라 어제 봤던 길이지만 색달라 산책이나 할까 우리 날씨도 좋으니까 어지러워 너의 향기 바람이 또 불어올 때 난 걷는 걸 제일 싫어하지만 너라면 좋아 널 껴안고 싶어 하루 종일 너에게 붙어있고 싶은데 잠깐만 멈춰봐 널 보고 싶어 네 손을 잡고 말해 하루 종일 너의 옆에 누워 너와 함께 있고 싶어 똑같은 하루인데 너와 있을 땐 좀 달라 내가 더 너에게 빠졌나 봐 그니까 잠깐만 멈춰봐 널 보고 싶어 네 손을 잡고 말해 하루 종일 너의 옆에 누워 너와 함께 있고 싶어 똑같은 하루인데 너와 있을 땐 좀 달라 내가 더 너에게 빠졌나 봐 내일은 또 어디 갈까
39,시슬리,쇼핑,백화점 앞을 지나다 멈출 수 없는 내 두 발 가려던 곳은 도서관 이미 난 백화점 1층 어쩌다 쇼핑 카드도 현금도 준비되어 있지 않지 그냥 아이 쇼핑하러 온거야 혼자 독백을 해 브랜드 마다 진열된 화장품 필요한게 없어도 발라만 볼꺼야 보기만 할꺼야 카드가 긁혔지 계산이 끝나기 전에 명품 가방이 눈에 띄어 가방들이 나한테 말을 걸어 날 유혹하는 가방들 내 손에 걸려있는 명품가방 과소비는 아니라고 스트레스 해소라고 스스로 위안해 보네 이제 가야지 하지만 이미 난 백화점 2층 어쩌다 쇼핑 카드도 현금도 준비되어 있지 않지 새로나온 신상 옷들은 왜 이렇게 예쁘게 걸려 있는 건지 입어만 볼꺼야 보기만 할꺼야 카드가 긁혔지 계산이 끝나기 전에 신발은 신상이 나왔을까 신발들이 나한테 말을 걸어 날 유혹하는 신발들 빨간구두는 없는데 과감히 신어볼까 현금을 다 털어 계산을 해버렸지 이제 진짜 쇼핑은 끝이야 이제 진짜 쇼핑은 끝이야 쇼핑은 오늘도 나와 이별하지 못하네 쇼핑은 오늘도 나와 이별하지 못하네 이제 진짜 쇼핑은 끝이야
40,안프(An.P),손잡아요 (Feat. 노재정),너와 함께 걷는 이 길에 지금 난 설레이는 생각을 해 둘만 함께 걷는 지금 이 순간 너의 손 잡고 거닐면 얼마나 좋은 기분일까 그대 내게 한 걸음 다가선 거리가 잠시 스쳐 가는 손에 짙은 향기가 그대 내게 한 걸음 마음을 전할까요 네 손이 닿은 그 순간 떨림을 Woo I want to hold your hand 내 손잡아요 너와 나의 겹쳐지는 두 손이 그래 Woo I want to hold your hand 지금 이대로 이제 두 손 꼭 잡고 걸어가요 우리 그대 내게 한걸음 다가선 거리가 잠시 스쳐 가는 손에 짙은 향기가 그대 내게 한걸음 마음을 전할까요 네 손이 닿은 그 순간 떨림을 Woo I want to hold your hand 내 손잡아요 너와 나의 겹쳐지는 두 손이 그래 Woo I want to hold your hand 지금 이대로 이제 두 손 꼭 잡고 걸어가요 우리 이 순간을 기다렸어요 마음이 가는 그대로 덜컥 잡아버렸죠 꼭 잡은 손 따뜻해져요 오늘밤 그대 생각에 잠 못이루죠 Woo I want to hold your hand 내 손잡아요 너와 나의 겹쳐지는 두 손이 그래 Woo I want to hold your hand 지금 이대로 이제 두 손 꼭 잡고 걸어가요 우리
41,김재상,CINEMA,요즘 어떤 영화를 하는지 혼자서 봐도 될 영화인지 늘 함께 갔던 그곳인데 이젠 미련과 가겠지 너 없이 처음 가 본다 네 길 따라 잊고 있던 추억들이 생각나 한걸음 추억에 맞춰 걷다 보니 우리가 영화였어 자 이제 시작한다 그 영화가 널 못 잊고 후회를 해봐도 괜찮아 언젠간 끝이 나니까 이 순간은 어둡지만 다 끝나면 밝아질 테니까 영화관은 너 없이 처음 가 본다 네 길 따라 잊고 있던 친구들을 불렀어 한마디 추억에 맞춰 얘기하니 우리가 영화였어 자 이제 시작한다 그 영화가 널 놀리고 비웃고 욕해도 괜찮아 언젠간 끝이 나니까 이 순간은 어둡지만 다 끝나면 밝아질 테니까 내 마음도 우리 다시 돌아가면 어떨까 자 이제 끝나간다 이 영화가 널 안았던 그렸던 시간이 생각나 언젠간 끝이 난다면 이 순간에 널 찾아가 네 앞에서 얘기할 테니까 자 이제 시작한다 내 미련이 널 안았던 그렸던 순간이 날 데려가 너와 내가 영화라면 그곳에서 기다릴 테니 네 마음도 다가와 준다면 좋을 텐데
42,우주대통령,흘러가는 대로 (Feat. 윤정은),바람이 저 산을 넘어서 내게로 온다 운명은 나를 넘어서 어디로 가나 몰라 몰라 세상도 나도 그저 가는 대로 놔둘 뿐 그냥 그렇게 흘러가는 대로 놔둬야 힘이 덜 들겠지 이제 와서 돌이킨대도 무슨 소용이 있나 혹시 다시 돌아간대도 무엇을 할 수 있나 되돌아서 거슬러가도 아무 상관이 없나 그냥 그렇게 자연스럽게 흘러 흘러 가야지 바람이 또 저 먼 산을 넘어서 내게로 온다 운명은 또 나를 지나서 어디로 가는가 아무도 몰라 세상도 나도 그저 가는 대로 놔둘 뿐 그냥 그렇게 가는 대로 가다 보면 어디에든 도달하겠지 몰라 몰라 세상도 나도 그저 흘러가는 대로 놔둘 뿐 그냥 그렇게 가는 대로 가보면 어디에든 도달하겠지 이제 와서 돌이킨대도 무슨 소용이 있나 혹시 다시 돌아간대도 무엇을 할 수 있나 만약에 거슬러간대도 아무 상관이 없나 그냥 그렇게 마음 비우고 흘러 흘러 가야지 그냥 그렇게 자연스럽게 흘러 흘러 가야지
43,유타민,꽃을든 꽃(with.김소진),오빠 요즘 나 얼굴에 뭐도 나고 못생겨 지는거같아 에 갑자기 아니야 음 얼마나 이쁜지 내가 설명해줄께 너는 술에 취해 비틀 걸어도 누구도 비교 할수없는 모델 너와 같이있어 부러워하는 저 시선 옆집 강아지에게도 자랑했어 부드러운 머릿결 푸딩푸딩한 너의 볼 나 네가 예뻐서 정말많이 불안해 나 진짜 예뻐 그래 너는 유일한 꽃을든 꽃이야 밤 하늘에 별처럼 빛나 그래 너는 유일한 꽃을든 꽃이야 지나치게 향기로워 사진 못찍는 내가 널 막 찍어도 스위스보다 예쁜 풍경이고 두시간이 걸려서 십분만 봐도 행복이 넘쳐 흘렀어 이제 곧 봄이 오고 그럼 벚꽃도 피고 나는 도시락 싸고 너에게 달려 가보고 내가 그렇게 좋아 그래 너는 유일한 꽃을든 꽃이야 밤 하늘에 별처럼 빛나 그래 너는 유일한 꽃을든 꽃이야 지나치게 향기로워 그래 이렇게 좋은 날들이 우리에게 허락된 시간이 너무 감사해 지금 내 앞에 있는 널 보면 이게 꿈인가 이게 생신가 내 볼을 꼬집어 너무 감사해 진짜 감사해 다른사람보지말고 나만 예뻐해줘 그래 너는 유일한 나만의 꽃이야 참을수없이 네가 좋아 너는 항상 나에게 지나치게 빛나 사랑이라고 말할께 오글거려도 진짜야
44,혁래,계절은 돌아 왔지만,잘 지내고 있니 이제 와서 이런 말 하기엔 부질없지만 늘 너에게 듣던 말 항상 이기적인 나라 또 너를 찾았어 월급날 둘이서 평범하게 한잔하는 게 뭐가 그렇게 어려웠는지 내가 조금 더 너를 바라봤었더라면 혹시 우린 지금 더 사랑했을까 계절은 돌아왔지만 아직 너는 너무 멀리 있는데 내가 바람을 따라갔다면 혹시 지금 난 너의 곁일까 시간이 너를 향한 나의 마음을 아직 도 모두 재로 만들지 못해 오늘도 이렇게 눈물이 나나 봐 다정한 말투로 보고 싶다 통화하는 게 뭐가 그렇게 어려웠는지 내가 조금 더 너를 바라봤었더라면 혹시 우린 지금 더 사랑했을까 계절은 돌아왔지만 아직 너는 너무 멀리 있는데 내가 바람을 따라갔다면 혹시 지금 난 너의 곁일까 시간이 너를 향한 나의 마음을 아직 도 모두 재로 만들지 못해 오늘도 이렇게 눈물이 나나 봐 이기적인 내가 못했던 그 말 미안하다는 그 짧은 한마디 계절은 돌아왔지만 계절은 돌아왔지만 아직 너는 너무 멀리 있는데 내가 바람을 따라갔다면 혹시 지금 난 너의 곁일까 시간이 너를 향한 나의 마음을 아직 도 모두 재로 만들지 못해 오늘도 이렇게 눈물이 나나 봐
45,김소원,새벽 (Feat. 이소원),당연하다는 듯 내 하루를 툭 던져놓고 하고 싶던 말 꾹 참고 기다리는 이 시간 아직 하고 싶은 말이 너무나 많아서 긴 밤을 재우려다 지쳐 잠든 밤 더 얼마나 계절이 변해야 내 맘도 지나갈지 알 수가 없고 지우려 해봐도 지워지지 않는 흔적이 오늘따라 유난히 더 아른거려서 사랑이 아득히 멀어져 갈 때면 나는 그곳에 머물고 말아요 어느새 눈물이 메말라 갈 때쯤 그댄 어디에 맴돌고 있나요 낡아버린 하루를 보내고 밤이 오는 소리에 문을 잠그고 잊으려 해봐도 남아있던 우리 추억이 오늘따라 유난히 더 날 힘들게 하죠 사랑이 아득히 멀어져 갈 때면 나는 그곳에 머물고 말아요 어느새 눈물이 메말라 갈 때쯤 그댄 어디에 맴돌고 있나요 시간이 지나면 모든 게 그대의 기억에서 그저 웃어넘겨 버릴 얘기죠 사랑이 향기만 남기고 갈 때면 나는 그리움에 울고 말아요 어느새 눈물이 메말라 갈 때쯤 그대 어디서 날 생각하나요 기다리면 올까요 당연하다는 듯 내 하루를 툭 던져놓고 하고 싶던 말 꾹 참고 기다리는 이 시간
46,레마,엄마의 기도 (Feat. 서재화),바람이 불어와 나뭇가지 흔들듯 친구들의 말과 표정이 너의 마음 흔들어 지친 표정으로 잠든 너의 머리맡에서 엄마는 기도한단다 바람에 흔들리며 꽃들이 피어난다지만 너의 꿈을 흔드는 세상의 거센 바람 엄마가 앞에서 막아줄게 엄마가 온전히 너의 편 돼줄게 엄마가 앞에서 막아줄게 엄마가 온전히 너의 편 돼줄게 나의 아가야 토닥토닥 엄마의 기도 소리에 고단함 풀어놓고 고운 꿈길 걸으렴 넌 나의 가장 큰 기쁨이란다 바람에 흔들리며 꽃들이 피어난다지만 너의 꿈을 흔드는 세상의 거센 바람 엄마가 앞에서 막아줄게 엄마가 온전히 너의 편 돼줄게 엄마가 앞에서 막아줄게 엄마가 온전히 너의 편 돼줄게 나의 아가야 토닥토닥 엄마의 기도 소리에 고단함 풀어놓고 고운 꿈길 걸으렴 넌 나의 가장 큰 기쁨이란다 엄마가 너의 힘이 되어 줄게 엄마가 너의 힘이 되어 줄게 엄마가 너의 힘이 되어 줄게 엄마가 앞에서 막아줄게 엄마가 온전히 너의 편 돼줄게 엄마가 앞에서 막아줄게 엄마가 온전히 너의 편 돼줄게 나의 아가야 토닥토닥 엄마의 기도 소리에 고단함 풀어놓고 고운 꿈길 걸으렴 넌 나의 가장 큰 행복이란다
47,김다하,원래 그냥,나는 원래란 말을 좋아해 그냥 나는 그냥이란 말을 자주해 원래 어떤 이는 나에게 합리적이지 못하다 말하지 어떤 이는 나에게 논리적이지 못하다 말하지 효율과 속도의 바퀴는 오늘도 끊임없이 달려만 가지 편리함이 넘쳐나는 세상 그러나 멈출 순 없네 나는 너무 합리적이고 싶지 않아 그냥 나는 너무 논리적이고 싶지 않아 원래 모두가 한 곳을 향해 달려가는 세상이지만 나는 오늘도 원래 그냥 이 자리에 남아 있겠어 모두가 한 곳을 향해 달려가는 세상이지만 나는 오늘도 원래 그냥 이 자리에 남아 있겠어
48,신동재,가거든,어디서 날아왔니 가냘픈 날갯짓으로 혹시 우리 집 뒤 뜰가에 가득 피었던 민들레 홀씨니 그리운 소식 전해주려 먼 곳까지 날아왔니 혹시 우리 딸 잘 지내고 있니 소식 좀 알려줄 수 있니 봄이 되면 돌아온다고 약속했는데 기쁜 소식 안고 돌아올 줄 알았는데 꺾여버린 내 꽃은 더 이상 필수 없어 너처럼 홀씨 되어서 돌아올 수 없어 가거든 돌아가거든 내 소식 전해줄 수 있니 난 잘 지낸다고 걱정하지 말라고 살며시 전해 줄 수 있니 봄이 되면 돌아온다고 약속했는데 기쁜 소식 안고 돌아올 줄 알았는데 꺾여버린 내 꽃은 더 이상 필수 없어 너처럼 홀씨 되어서 날아갈 수 없어 이제 우
49,P.S,친구야,친구야 네 눈물이 닿는 그 끝을 생각해 보렴 친구야 네 한숨이 이른 그곳을 한번 떠 올려 보렴 수없이 넘어진 네 무릎을 안쓰러이 바라봐 주렴 오랫동안 움츠린 너의 어깨를 따스이 보듬어 주렴 누구나 살아가기 어려운 하루 하루란다 그러니 웃으며 멋지게 용기를 내주렴 네 눈물이 닿는 곳에 아름다운 꽃들이 피고 네 한숨에 실린 사랑은 멀리 퍼져가네 수없이 넘어진 네 무릎을 안쓰러이 바라봐 주렴 오랫동안 움츠린 너의 어깨를 따스이 보듬어 주렴 누구나 살아가기 어려운 하루 하루란다 그러니 웃으며 멋지게 용기를 내주렴 네 눈물이 닿는 곳에 아름다운 꽃들이 피고 네 한숨에 실린 사랑은 멀리 퍼져가네
