,가수,노래 제목,노래 가사
121,"짙은, 신지훈",다 말해도 돼,오늘 같은 밤에 스치는 바람 너머에 살며시 너의 손잡아 주길 하루가 저무는 노을빛 기억 저편에 그 때의 너와 웃을 수 있길 다 말해도 돼 더 기대도 돼 아무일도 없듯 눈을 감아 이 밤 다 나에게 저 멀리에서만 조용히 바라보던 나 이제는 내가 눈물을 닦아줄게 다 말해도 돼 더 기대도 돼 아무일도 없듯 눈을 감아 여기에 서 있을게 내 맘 가득히 넌 밤하늘에 별이 돼 아무일도 없듯 눈을 감아 이 밤 다 나에게 기대 선명하게 니가 보여 온맘 가득히 너만 담을게 아무리 아파도 변치 않아 이대로 지금처럼
122,곽진언,그대의 것,그대의 잠든 모습을 가만히 바라보면 내가 모르던 것들을 알게 될 것 같아요 깊은 밤은 그대의 것 아침을 기다리며 저 밤하늘에 놓인 구름처럼 작게 노래하는 나처럼 저 밤하늘에 적은 글씨처럼 떠다니는 별들처럼 깊은 밤은 그대의 것 아침을 기다리다 빛을 다한 달처럼 거실 불을 끄는 나처럼
123,시연 (드림캐쳐),황홀경 (极夜) (SIYEON SOLO),긴 긴 밤 달빛도 외면한 참 추운 바람 푸른빛 조금도 허락되지 않은 꿈 하나의 색만이 오롯이 남아 서서히 눈을 감아  단꿈을 꾸네 한 순간의 꿈 잠시 스쳐 갈 뿐이라도 내 손을 놓지 말아 줘  날 꼭 안던 품의 향기 찰나 속 한 줌 빛의 온기 그 속에 더 온전히 머문 채 홀로  짧은 숨결 긴 긴 밤 속삭임까지도 빛을 잃은 내 세상엔 이리 소란한데  그 언제나 너를 품은 황홀한 꿈결 눈을 뜬들 잊혀질까  아 점점 사그라져 가네 그 아무것도 몰랐네 나 아는 것 중 제일 아름답게 타올랐다  참 아프게 데여 영영 피어있을 꽃 마지막의 끝에서 다시 선명해질 불꽃  짧은 숨결 긴 긴 밤 속삭임까지도 빛을 잃은 내 세상엔 이리 소란한데  그 언제나 너를 품은 황홀한 꿈결 눈을 뜬들 잊혀질까  어둑어둑 내 긴 새벽 텅 빈 눈동자 어쩌면 내 작별은 다 알고 있었다고 사무치게 길 밤을  꿈결이라 속삭이는 널- 잊게 될까  (La - la la la la – la la la – la la la) (La - la la la la – la la la – la la la) La la la la ah – Ha ah La la la la li li la (La - la la la la – la la la – la la la) (La - la la la la – la la la – Ha)  긴 긴 밤 달빛도 외면한 참 까만 꿈 황홀하구나
124,마지,흔한 여자,집으로 돌아오는 길 어느 샌가 눈물이 헤어진지도 벌써 오래됐는데 마음이 허전할걸까 오늘도 니 생각에 또 하루를 살아 지난 시간 우리 사랑했던 순간들 돌아보면 아쉬움만 늘어가 흔한 여자로 남기엔 너무 사랑했기에 너를 사랑하면 할수록 아픔만 더 늘어가 바보처럼 사랑을 너무 자신했나봐 이별 후에 너를 그리며 눈물이 흘러내려 생각나 사랑했던 순간 잊지 못할 기억들 그때의 너와 닮아 가는 것 같아 흔한 여자로 남기엔 너무 사랑했기에 너를 사랑하면 할수록 아픔만 더 늘어가 바보처럼 사랑을 너무 자신했나봐 이별 후에 너를 그리며 눈물이 흘러내려 생각나 지켜준단 그 말들 아껴준단 그 말들 책임지지 못할 사랑에 바보가 돼버렸어 사랑했었던 그 만큼 니가 미워진대도 한동안 눈물로 살아도 너를 사랑했던 맘 변함없어 사랑했던 내 맘 후회는 없어
125,벤,소개받기로 했어,신사동 가로수길 오후 네 시 반 우리가 자주 가던 그 카페에서 널 처음 본 그때처럼 새 옷을 입고 새사람 만나기로 했어 그 사람 너처럼 인상도 좋고 성격도 좋은 사람이래 이제 너 없이도 지낼 수 있을지도 몰라 근데 왜 눈물이 나니 너로 가득했었던 날들아 안녕 눈물로 지새우던 밤들아 안녕 채우지 못 할 것 같던 너의 빈자리 대신 할 새사람을 소개받기로 했어 우리가 즐겨듣던 그 노래 위로 어색한 인사를 나누고 전혀 관심도 없는 그 사람 번호를 받고 애써 웃어야겠지 온통 너 하나였던 기억아 안녕 매일을 되뇌이던 추억아 안녕 밤새워 떠올렸었던 너의 얼굴을 대신 할 새 사람을 소개받기로 했어 내 삶에 전부였던 사람아 안녕 내 가슴 뛰게 했던 사람아 안녕 내안에 너를 살게 한 너의 흔적을 지워 줄 새 사랑을 찾아보기로 너로 가득했었던 날들아 안녕 너로 가득했었던 날들아 안녕 눈물로 지새우던 밤들아 안녕 채우지 못 할 것 같던 너의 빈자리 대신 할 새사람을 소개받기로 했어
126,김기태,부탁이야,가슴에 숨겨둔 그 사랑 지킬 수 없었던 그 약속 언젠가 꼭 돌아온다고 못 다한 사랑하자고 누구라도 사랑할 수 있지만 그 사랑이 그대일 수 없잖아 일생동안 눈물로 지새운다면 한번쯤 내게 와줄까 사랑했지만 너만을 사랑했지만 슬픈 운명은 너를 뺏어가 내게서 멀어지지 마 떠나지마 아직도 너를 기다려 돌아와 누구라도 사랑할 수 있지만 그 사랑이 그대일 수 없잖아 일생동안 눈물로 지새운다면 한번쯤 내게 와줄까 사랑했지만 너만을 사랑했지만 슬픈 운명은 너를 뺏어가 내게서 멀어지지 마 떠나지마 아직도 너를 기다려 돌아와 부탁이야 더 이상 멀어지지 마 니가 없으면 나도 없잖아 이렇게 아파하는 날 떠나지마 가지 마 제발 가지 마 돌아와
127,원더걸스,Girlfriend,자고 있었나 봐 깨웠다면 미안해 할 말이 있었던 건 아냐 나 니 목소리가 듣고 싶어서 알아 이럼 안된 단걸 우린 이미 끝났단 걸 그래도 잠시만 아주 잠시만 이렇게 있어줄래 I’m with my girlfriend right now 믿기지가 않아 지금 너 여자친구라 한 게 맞아 진심이니 그럴 리가 없잖아 She is your girlfriend right now 지금 그녀도 듣고 있니 나 같은 거 아무 의미 없다고 너 말하니 진심일 리 없잖아 don’t lie 나도 미쳤어 나 답지 않았어 평소였음 할 수 없을 바보짓을 했어 그래도 넌 멀쩡했잖아 제 정신이었잖아 차라리 받지 않았음 됐잖아 그렇게 잠들 수 있었잖아 I’m with my girlfriend right now 믿기지가 않아 지금 너 여자친구라 한 게 맞아 진심이니 그럴 리가 없잖아 She is your girlfriend right now 지금 그녀도 듣고 있니 나 같은 거 아무 의미 없다고 너 말하니 진심일 리 없잖아 don’t lie She is your girlfriend I was your girlfriend 듣고 싶은 건 그게 아냐 말 안 해도 알아 이렇게 지나면 끝인 거야 아무렇지 않은 거야 그걸로 된 거야 Baby don’t lie 날 사랑했던 거 날 잊는 거 아무것도 아니게 되는 거 넌 그게 쉬워 그렇게 비워 날 지워 그래 미쳤던 거라 해 널 아직 잊지 못해 헛소리 한 거라 해 내일이면 기억도 안 날 텐데 I’m with my girlfriend right now 믿기지가 않아 지금 너 여자친구라 한 게 맞아 진심이니 그럴 리가 없잖아 She is your girlfriend right now 지금 그녀도 듣고 있니 나 같은 거 아무 의미 없다고 너 말하니 진심일 리 없잖아 don’t lie I’m with my girlfriend right now 믿기지가 않아 지금 너 여자친구라 한 게 맞아 진심이니 그럴 리가 없잖아 She is your girlfriend right now 지금 그녀도 듣고 있니 나 같은 거 아무 의미 없다고 너 말하니 진심일 리 없잖아 don’t lie
128,쿨 (COOL),한 장의 추억,내 맘은 아팠어 전화기로 너를 만나면서 다시는 볼 수도 없단 그 말에 난 힘이 빠졌어 오랜만이었어 너와 마지막으로 통화한지도 내 꿈을 위한 내 모든 것들 너를 잠시 잊게 했었지 너는 아름다웠어 내가 지금까지 살아오면서 나는 몰랐어 내게 숨겨진 너의 마음을 니가 행복하길 빌겠어 우리 지난날의 기억들을 너의 미래에 삶 그곳에 남겨지는 한장의 추억 니가 행복하길 빌겠어 우리 지난 날의 기억들을 너의 미래의 삶 그곳에 남겨지는 한장의 추억
129,헨,너에게,만약 네가 사랑을 하면 여리고 여린 널 안아주는 그런 사람이면 좋겠어 만약 네가 사랑을 하면 표현에 서툰 그런 너에게 표현해 주는 사람이길 마음에 문을 여는 속도가 조금 느린 널 이해해 주고 사랑해 주는 사람이길 바다같이 넓은 너의 마음에 마음껏 헤엄치는 그런 사람이면 좋겠어 그런 사람이 널 사랑하면 좋겠어 마음에 문을 여는 속도가 조금 느린 널 이해해 주고 기다려주는 사람이길 바다같이 넓은 너의 마음에 마음껏 헤엄치는 그런 사람이면 좋겠어 그런 사람이 널 사랑하면 좋겠어
130,허각,죽고 싶단 말 밖에 (2020 Ver.),이렇게 너를 난 떠올리곤 해 길었던 순간들도 기억해 오늘도 너의 뒷모습을 잠시라도 볼 수 있다면 죽고 싶단 말 밖에 난 할 수가 없어 너 없는 삶은 견딜 수 없어 다시 돌아오기만을 기다려 이제 너는 없지만 제발 너무 보고 싶어 널 사랑해 미련한 나야 널 못 버려 미칠 듯 숨이 막혀 밤새도록 널 밀어냈지만 아직도 죽고 싶단 말 밖에 난 할 수가 없어 너 없는 삶은 견딜 수 없어 다시 돌아오기만을 기다려 이제 너는 없지만 제발 너무 보고 싶어 죽을 만큼 널 보고 싶다 하늘이 널 허락한다면 죽어도 난 못 떠나 널 버리곤 못 가 Oh no no 나 따위가 뭐길래 죽어도 떠날 수 없게 사랑해 나를 두고 가지 마 제발 제발 제발 널 사랑해
131,6 to 8,여전히 여전해,여전히 여전해 잠이 부족할 만큼 일 속에 묻혀 살곤 해 잠시 끊었던 운동도 미뤘던 여행도 다시 또 시작했어 여전히 여전해 친구들의 걱정에 여자도 소개받곤 해 모두 너 같진 않지만 괜찮은 여자와 잘 해보기도 했어 다들 그러잖아 괜찮아지더라 잘 지내는 내가 어색해지더라 이래도 돼 벌써 잊어도 되니 서운하겠지만 너무 잘 지내서 미안해 정말 여전히 여전해 니가 싫어했었던 옷들을 꺼내 입곤 해 듣기 싫던 니 잔소리 화내던 얼굴이 이젠 그립지 않아 다들 그러잖아 괜찮아지더라 잘 지내는 내가 어색해지더라 이래도 돼 벌써 잊어도 되니 서운하겠지만 너무 잘 지내서 미안해 정말 너도 누군가를 만나고 있겠지 나보다 더 내가 준 것보다 더 많은 걸 줄 사람 사랑하고 있겠지 그리움이 지나 오늘이 오더라 많이 울던 내가 창피해지더라 멀쩡해도 이러다 니가 가끔 따끔대긴 해도 그냥 그래 이젠 걱정하지 마
132,박창근,하얀밤에,비 쏟아지는 밤에 먼 추억으로 나는 가리 비 세차게 내려다오 내 뺨 위에 흐르는 눈물을 감추도록 눈물을 바람 불어오는 밤에 먼 추억으로 나는 가리 바람 세차게 불어다오 헝클어진 머리가 아무도 모르게 아무도 비바람이 불어와 모든 것이 날아가 버릴지라도 빗소리만 하얗게 나를 감싸네 그대 떠난 이 밤에 하염없이 눈물이 흘러내려도 빗소리만 하얗게 나를 감싸네 감싸네 비 쏟아지는 밤에 먼 추억으로 나는 가리 비 세차게 내려다오 내 뺨 위에 흐르는 눈물을 감추도록 눈물을 비바람이 불어와 모든 것이 날아가 버릴지라도 빗소리만 하얗게 나를 감싸네 그대 떠난 이 밤에 하염없이 눈물이 흘러내려도 빗소리만 하얗게 나를 감싸네 감싸네 감싸네 그대 떠난 이 밤에
133,윤도현,가을 우체국 앞에서 (2014 Ver.),- 가을 우체국 앞에서 (2014 Ver.) -  가을 우체국 앞에서 그대를 기다리다 노오란 은행잎들이 바람에 날려가고 지나는 사람들같이 저 멀리 가는 걸 보네 세상에 아름다운 것들이 얼마나 오래 남을까 한여름 소나기 쏟아져도 굳세게 버틴 꽃들과 지난 겨울 눈보라에도 우뚝 서 있는 나무들같이 하늘 아래 모든 것이 저 홀로 설 수 있을까 가을 우체국 앞에서 그대를 기다리다 우연한 생각에 빠져 날 저물도록 몰랐네 세상에 아름다운 것들이 얼마나 오래 남을까 한여름 소나기 쏟아져도 굳세게 버틴 꽃들과 지난 겨울 눈보라에도 우뚝 서 있는 나무들같이 하늘 아래 모든 것이 저 홀로 설 수 있을까 가을 우체국 앞에서 그대를 기다리다 우연한 생각에 빠져 날 저물도록 몰랐네 날 저물도록 몰랐네
134,비투비,Summer Romance,외로운 여름밤에 혼자 걷던 바다 파도소리만 가득해 쏟아지는 저 별들 그보다 더 밝게 빛나는 너를 보게 됐어 무더운 여름 지친 일상 I'm glad I came out cuz I ran into you 혼자 있고 싶지 않아 Wanna spend time with you 여름 향기 좋아 하얀 모래 위에 써 내려간 우리 사랑 노래 우리 사랑 노래 너와 함께면 모닥불 바람 없어도 완벽한 이 여름 너만 있다면 밤새 노래할래 완벽해 우리 Summer romance 두두 두루루 두두 두두 두루루 두두 두두 두루루 두두 밤새 노래할래 저 별을 향해 두두 두루루 두두 두두 두루루 두두 두두 두루루 두두 너무 완벽해 우리 Summer romance 나 사실 여름 별로 안 좋아해 근데 네가 내 여름이니까 좋아 더 뜨겁잖아 붙어있으니까 너니까 근데 요즘 왠지 뜨거운 것이 좋아 Oh 우린 완벽한 하나지 바다 냄새와 해바라기 필요 없는 핸드폰도 모두 꺼놓지 We love the summer beach Get easy 설레는 여름밤 너와 나 전화번호 이름 아무것도 묻지 않을게 오늘 밤은 I'll make sure You don't feel lonely 여름 향기 좋아 하얀 모래 위에 써 내려간 우리 사랑 노래 우리 사랑 노래 너와 함께면 모닥불 바람 없어도 완벽한 이 여름 너만 있다면 밤새 노래할래 완벽해 우리 Summer romance 잊지 못할 우리 여름 바다 참 예쁘다 반짝이는 이 공간 안에 너 파도에 맞춰 춤을 춰 그토록 바랐던 바위와 춤을 추는 파도소리는 덤 다시 볼 수 있을까 우리 둘 일렁거리는 아지랑이부터 맑은 밤하늘 걱정하지 마 Girl 나만 따라와 이 밤이 새도록 피어나는 뜨거운 Summer night 두두 두루루 두두 두두 두루루 두두 두두 두루루 두두 밤새 노래할래 저 별을 향해 두두 두루루 두두 두두 두루루 두두 두두 두루루 두두 너무 완벽해 우리 Summer romance 두두 두루루 두두 It was nice getting to know you I hope our paths cross again soon 완벽해 우리 Summer romance
135,더보이즈 (THE BOYZ),시간의 숲 (Goodbye),긴 시간의 끝에서 걸어왔던 길을 헤매이는 나 얼마나 더 가야 하는지 가늠도 못한 채 변한 게 없다는 걸 이젠 잘 알지만 모두 낯설어 마치 꿈처럼 계속 나를 잃어가 몇 밤을 더 자야만 너는 내게 번질까 유난히 선명한 시간이 다시 날 네게 데려가 우리 아름다웠던 Goodbye 이별하던 순간마저 내겐 빛나서 더 거짓말 같던 Goodbye 네 곁을 맴돌며 널 부르고 있어 내 마음 속 한 켠에 채워지지 않아 바랜 자리엔 함께 나눈 노래 가사가 흐리게 남았어 희미해진 소리가 계속 날 흔들어 또 잠겨 있었던 기억의 문 너머 너를 찾아와 몇 날을 더 지새야 나는 너를 떠날까 유난히 선명한 시간이 다시 날 네게 데려가 우리 아름다웠던 Goodbye 이별하던 순간마저 내겐 빛나서 더 거짓말 같던 Goodbye 네 곁을 맴돌며 널 부르고 있어 Oh 달이 저문 창문 뒤로 마치 네가 다녀간 듯 다시 떨려와 어둠이 스민 손 틈새로 아려오는 맘이 고여 저물지 않던 새벽녘처럼 네가 또 떠올라 안녕 나의 마지막 Goodbye 지워지던 순간마저 너는 예뻐서 시간의 숲에서 혼자 아직 널 그리며 여전히 기다려
136,어반자카파,사랑이 떠나간 자리에,사랑이 떠나간 자리에 그리움이 자리를 잡고 밀려오는 후회들과 함께 나는 아직 이곳에 있어 흘러만 가는 삶을 살고 있어 네가 걱정하게 행여라도 내 생각이 난다면 꼭 돌아와 줘 사랑이 떠나간 자리에 길을 잃은 우리들의 꿈 다신 볼 수 없는 그대 나는 아직 이곳에 있어 흘러만 가는 삶을 살고 있어 네가 걱정하게 행여라도 내 생각이 난다면 그렇다면 내게 와줘요 멀리 가지 말아요 우리가 나눴던 것들을 잊지 말아요 내게 와줘요 멀리 가지 말아요 우리가 나눴던 것들을 잊지 말아요
137,"Kei (러블리즈), 엑시 (우주소녀)",봄 빛 (The Light),흩날리는 꽃잎에게 물었어 너에게도 봄이 불어 왔을까 햇살처럼 웃었던 따듯한 모습 그대로 그림처럼 내게 남아 있는 걸 yeah 같은 시간 속 널 다른 공간 속 난 바람에 실려왔던 네 향기에 눈 감은 채 너를 그려 그 순간처럼 Oh 너와 함께 했던 봄빛 같던 눈빛 아직도 난 기억해 그 모든 순간들을 믿어 멀리 있어도 눈부시게 빛나던 I Remember I Remember 맑은 햇살처럼 따듯하게 찾아와 고운 바람처럼 내 옷깃을 스치고 너의 기억에 물들어 그 때 그 날에 머물러 이 계절처럼 가끔은 날 찾아와줬음 해 Oh 너와 함께 했던 봄빛 같던 눈빛 아직도 난 기억해 그 모든 순간들을 믿어 멀리 있어도 눈부시게 빛나던 I Remember I Remember It's you 사실은 너도 날 떠올려주길 부탁해 너의 시간이 나와 같다면 I can already feel your love again And let’s try again 다시 감싸줘 품에 안아줘 날 느낄 수 있게 너와 함께 했던 봄빛 같던 눈빛 온기 아직도 난 기억해 별빛처럼 빛나던 그 모든 순간들을 믿어 멀리 있어도 멀리 있어도 눈부시게 빛나던 I Remember 별빛처럼 빛나던 I Remember I Remember starry star 시간이 지나도 I Remember
138,장혜진,꿈의 대화,아침햇살이 내 방 창가에 소리 없이 내려앉으면 작은 화분 그 속에 나의 어린 꽃들이 지난 밤의 얘길 해주곤 해 처음 그대를 만난 그날은 뭐가 그리 궁금했는지 어떤 사람이냐고 무슨 얘길 했냐고 정말 나를 귀찮게 했었지 그대여 그대 눈빛만으로 나를 사로 잡았었다고 얘길하며 그대를 생각했지 알고 있었어 그대 나의 사랑으로 되리라는걸 영원할거라고 내 어린 꽃들도 믿었어 어느날인가 수척해있는 나의 어린꽃을 보았지 밤새 뒤척거리던 나의 그 모습 속에 이미 이별인걸 알았나봐 니가 있으니 괜찮을거야 아무 걱정말라 했지만 흘려버린 눈물에 젖어버린 꽃들이 위로조차 할수 없었나봐 그대여 정말 사랑했는데 그대 나의 곁엔 아무도 그대 아닌 누구도 안된다던 그대였잖아 이젠 누가 함께 하나 그댄 없는데 영원할거라고 내 어린 꽃들도 나처럼 슬픔으로 이렇게 시들어 가는데 정말 사랑했는데 그대 나의 곁엔 아무도 그대 아닌 누구도 안된다던 그대였잖아 다신 사랑할수 없겠지 그대 기억만으로 내 어린 꽃들과 추억에 기대어 살겠지 괜찮아질거야 내 어린 꽃들이 있으니
139,유주,Love+++ (Prod. by GRAY),그리워하고 미워했었던 긴 시간이 지나갔지 난 예전처럼 종일 울지는 않아 참는데 익숙해져서 love love love love love love love 근데 비가 내리면 네가 훅 들어와 love love love love love love love 우울해도 괜찮은 밤이야 뚜루루루루 비가 오는 밤이면 뚜루루루루 그래 네 생각을 해 또 love love love love love love love 우울해도 괜찮은 밤이야 헤어졌던 익선동 골목길 비가 오면 들르곤 해 우산 속에 내 얼굴 가려두고서 잠깐 울면 괜찮아져 love love love love love love love 근데 비가 내리면 네가 훅 들어와 love love love love love love love 우울해도 괜찮은 밤이야 뚜루루루루 비가 오는 밤이면 뚜루루루루 그래 네 생각을 해 또 love love love love love love love 우울해도 괜찮은 밤이야 비를 맞으며 이별한 그 날 그 밤의 골목길 나만 우산을 쓰고 오나 봐 혹시 마주칠까 love love love love love love love 이 비가 그치면 널 또 잊고 살겠지 love love love love love love love 근데 하염없이 비가 내려 love love love love love love love love love love love love love love 울기에는 괜찮은 밤이야
140,안예은,메롱해치,경복궁과 함께 태어난 나는 메롱해치라 합니다 미소로 가득한 600년을 지금 나누어 드릴게요  백악산 큰 바위 강산풍월부터 작은 꽃망울까지 하루 종일 눈에 담고 또 담아도 부족하기만 한 아름다운 나날들  함께 걸어봐요 발맞추어 함께 거닐어요 손을 잡고 해가 지고 달이 뜨고 별들이 속삭일 때도 나는 잠들지 않아 항상 여기 있어 언제나  연못가 수놓은 오리들의 노래 기린과 금손이 도 매일 봐도 마냥 곱고 고운 궁궐 지겹지가 않은 아름다운 나의 집  함께 걸어봐요 발맞추어 함께 거닐어요 손을 잡고 소리 내어 웃을 때도 가끔은 눈물지어도 나는 잠들지 않아 항상 여기 있어 언제나  (함께 걸어봐요 발맞추어 함께 거닐어요 손을 잡고) 세월 흘러 언젠가 그대가 나를 떠나게 된대도 나는 잠들지 않아 항상 여기 있어 언제나
141,하동연,널 붙잡을 노래,오늘도 서성이는 너의집 화가나는걸 나는 힘든데 나는 힘든데 이렇게 하지만 나는 어쩔 수 없어 니 맘을 돌리긴 너무 늦은걸 끝나버렸어 어쩔 수 없어 이젠 한 순간 내 몸에 익숙했던 니 손이 날 밀어내 나는 어떡해 나는 어떡해 어느덧 떠나간 너의 숨결 아직도 널 사랑해 나는 어떡해 나는 어떡해 제발 오 제발 돌아와 난 니가 생각나 자꾸만 생각나 예전처럼 니 손 잡을 수가 없어 난 니가 너무 좋아서 너의 모든걸 못잊어 이 노래는 널 붙잡을 수 있는 노래 한 순간 내 몸에 익숙했던 니 손이 날 밀어내 나는 어떡해 나는 어떡해 어느덧 떠나간 너의 숨결 아직도 널 사랑해 나는 어떡해 나는 어떡해 나와 마주치던 그 눈빛으로 그냥 나를 다시봐요 그 눈빛 내게 말을 해줄래 아직도 사랑한다고 한 순간 내 몸에 익숙했던 니 손이 날 밀어내 나는 어떡해 나는 어떡해 어느덧 떠나간 너의 숨결 아직도 널 사랑해 나는 어떡해 나는 어떡해 제발 오 제발 돌아와 사랑해 오 사랑해
142,양수경,바라볼 수 없는 그대,그대 가슴에 기대고 싶은 나의 여린 눈길에 왜 그대는 아픔으로 돌아서고 있나 흐느껴 울면 바라볼까 가만히 그댈 보아도 왜 가까이 불렀어도 그렇게 멀리 떠나나 정말로 나를 사랑하고 있다면 이별이란 있을 수 없어 그리움 속에 기다릴 수 있다면 이렇게 애원하진 않아 그렇게 떠나가는 사람 난 정말 울어 버렸네  흐느껴 울면 바라볼까 가만히 그댈 보아도 왜 가까이 불렀어도 그렇게 멀리 떠나나 정말로 나를 사랑하고 있다면 이별이란 있을 수없어 그리움 속에 기다릴 수 있다면 이렇게 애원하진 않아 그렇게 떠나가는 사람 난 정말 울어버렸네 그렇게 떠나가는 사람 난 정말 울어버렸네
143,더 블루,너만을 느끼며,네가 나이기를 바랬던 것만큼 많은 것을 원하지는 않아 알 수 없는 이 아쉬움들은 그리움의 마음일 뿐 오오 짧았던 우리의 시간은 오랜 아픔으로 남겠지만 모든 것이 변할 순 없잖아 소중했던 우리 얘기도 서러워 우는 건 아니야 그저 미련만이 남아있을 뿐 오래전 알고 지낸 너와 함께한 내 모습 워 더욱더 초라해 보이는 쓸쓸한 미소만이 더 이상 아무 말도 할 수 없지만 힘없이 뒤돌아 가지만 널 잊을 순 없을 거야 서로가 원한 건 아니었잖아 조금 더 가까이 다가와 너만을 느끼며 달콤한 내 사랑을 전할 거야 그냥 이대로 영원히 내 품에 안겨 내 사랑 All My Love To You 힘없이 뒤돌아 가지만 널 잊을 순 없을 거야 서로가 원한 건 아니었잖아 조금 더 가까이 다가와 너만을 느끼며 달콤한 내 사랑을 전할 거야 그냥 이대로 영원히 내 품에 안겨 내 사랑 All My Love To You
144,먼데이 키즈 (Monday Kiz),너의 가슴으로 가는 길,처음 본 순간  가슴이 아픈 이유  이제 조금은  알 수 있을 것 같아  긴 잠에서 깨어  다시 뛰기 시작한  심장이 멈추지를 않아서  널 갖지 못하면  죽을 것만 같은데  왜 이렇게 난  부족한게 많은지  나만을 위해서 살아왔던  내 삶이 초라해  미칠 것만 같아  하늘은 왜 나에게 너를 알게해  견딜 수 없는 아픔 주는지  영혼까지 바칠게  알 수만 있다면  너의 가슴으로 가는 길  그 날이 있을까  매일 밤 내 꿈처럼  니가 나에게 사랑한다 말하는  그날이 있을까  그런 너를 안고서  죽을 만큼 사랑한다 말하는  하늘은 왜 나에게 너를 알게 해  견딜 수 없는 아픔 주는지  영혼까지 바칠께  알수만 있다면  너의 가슴으로 가는 길  아무 생각도 없어 온종일  숨쉬는 것도 힘들어  이 넓은 세상에 나를  웃게 할 수 있는 건  오직 너 너의 사랑뿐이야    가르쳐 줄 수 없겠니  하늘은 왜 나에게 너를  알게 해 견딜 수 없는  아픔 주는지  영혼까지 바칠께  알 수만 있다면  너의 가슴으로 가는 길  show me the way to your heart  show me the way to your heart
145,CHEEZE (치즈),긴 꿈에서,모두 잠든 밤 일렁이는 바다색 하늘 위에 뛰노는 별들 떨어지는 날 아래 누워있는 둘 눈 감은 채로 고요히 그리워진 마음 겁이 나요 나 깊고 어두운 날들 속에 손을 놓쳐버릴까 숨을 잃어버릴까 작은 외로움에 떠다니지만 가만히 눈을 감아도 선명하게 빛나고 있는 넌 사랑인 것 같아요 사랑한다 말해요 긴 꿈에서 우린 영원할 거야 아득하고 먼 수많은 밤 저편에서 안고 싶은 밤 잡고 싶어 나 짙고 어두운 안개 속에 별들 떨어지는 날 내가 기다릴게요 널 그린 채로 고요히 가만히 눈을 감아도 선명하게 빛나고 있는 넌 사랑인 것 같아요 사랑한다 말해요 긴 꿈에서 우린 영원할거야 흐르는 시간의 뒤로 아름다운 날 묽게 번져도 사라지지 않아요 오랜 날이 지나고 이 꿈 속에서 나 바래진데도 아득하고 먼 영원이 가득한 수많은 밤 저 편에서
146,온유 (ONEW),사랑이었을까 (Illusion),어쩌면 난 널 많이 좋아했나 봐 가슴에서 너를 떠올려 바보처럼 어쩜 우리는 서로를 사랑하면서 보내야 했나 봐 아직은 어리고 약한 내가 부족했을까 그땐 정말 사랑이었을까 나의 불안했던 날에 꿈처럼 너를 또 본건 아닐까 우리의 지난날이 초라해 보여 무색해진 나의 후회가 가끔 슬퍼 괜찮은 척 또 아닌 척을 해봐도 붉어진 두 눈이 말을 해 아직 너를 잊을 준비가 되지 않았었나 봐 많이 아팠나 봐 한참을 지금껏 이런 나를 왜 몰랐을까 여태 정말 사랑이었을까 나의 불안했던 날에 꿈처럼 너를 또 본건 아닐까 우리의 지난날이 초라해 보여 무색해진 나의 후회가 가끔 슬퍼 이런 너를 보면 낡아 버린 기억으로 버틸 수 있을까 괜한 이기심일까 아니면 긴 미련일까 되려 힘들게 만들었을까 바보처럼 정말 사랑했었는데 내 품에 안겼던 너는 왜 희미하게 사라져갈까 우리의 지난날이 쓸쓸해 보여 어색해진 나의 인사로 널 보낸다 오랜 나의 사랑아
147,임창정,따뜻한 말 한마디,그대를 얻기 위해 했던 설레던 말들과 그 눈빛 지금은 뭐 말 안 해도 다 알겠지 그댄 섬세한 사람이니 몇 마디 말보단 행동으로 그댈 지킬 거라 생각했었죠 그대의 한숨 그대의 눈물 왜 그런 건지 난 몰랐어요 그 따뜻했던 말 한마디 알면서 못 하는 말 그대는 언제나 외로워하는 걸 보면서도 모른 체 지나쳤죠 입으로 떠들기만 하면 참 못난 남자구나 했죠 바쁘게만 사는 이유도 알겠죠 그댄 현명한 사람이니 이런 내 착각과 무심함이 그댈 힘들게 만들었었나 봐 그대의 한숨 그대의 눈물 왜 그런 건지 난 몰랐어요 그 따뜻했던 말 한마디 알면서 못 하는 말 그대는 언제나 외로워하는 걸 알면서도 못 본 체 눈감았죠 그까짓 표현 한마디가 뭐가 그리도 힘들다고 그리 원하는 걸 알면서도 못 했을까 너무나도 쉬운 말들을 이렇게도 쉬운걸 고마워 많이 수고했어 괜찮아 잘한 거야 멋있다 정말 오늘 참 예뻐 보여 그대 원했던 건 따뜻한 말 한마디 밥 먹었니 정말 맛있다 최고야 참 멋졌어 조심히 다녀 네 곁이 난 행복해 보고 싶다 네 편이야 사랑해
