,가수,제목,가사
10,이소라,Track 4,"먼저 위에 더 먼 저기 위에
넌 거기 위에
모른척 해 다 잘하고 있을게
그 언젠가 또 이곳에
먼 훗날 꼭 이곳에 와
모두 널 그리워 해
사진 속에 널 부르고 있어
참 너답게 아름다울 때 아름다웁게

안녕히 이제 안녕히 지금도 안녕히
그 때 안녕히 아직도 안녕히
꿈들도 안녕히 눈물도 안녕히
이제 안녕히 영원히

안녕히 이제 안녕히 지금도 안녕히
그 때 안녕히 아직도 안녕히
꿈들도 안녕히 눈물도 안녕히
이제 안녕히 영원히

괜찮아 이제 괜찮아 이제
괜찮아 이제 괜찮아 이제
괜찮아 이제 괜찮아 영원히"
11,럼블피쉬,어쩌지,"어쩌지 그 사람이 떠난데
어쩌지 눈 앞이 캄캄해
내 가슴이 또 아파오는데
내 눈물이 또 차오르는데
누가 좀 나를 말려줘
어쩌지 아직 사랑하는데
어쩌지 정말 자신 없는데
널 보낸다는게 지운다는게
이젠 남이라는게
이렇게 죽을만큼 힘들줄몰랐어
시간아 부탁해 시간아 부탁해
하루 지나 내일 되면
조금은 나을 수 있게
기억을 모두 다 지워줘
필름이 끊기듯
시간아 부탁해 내 맘을 부탁해
추억따윈 모두 지워
이제는 아프지 않게
다시는 그 누구도
사랑을 할 수 없게
어쩌지 시간은 가는데
어쩌지 보내줘야 하는데 난
술을 마시고 누굴 만나고
억지로 웃어봐도
여전히 미치도록 난 너만 생각 나
시간아 부탁해 시간아 부탁해
하루 지나 내일 되면
조금은 나을 수 있게
기억을 모두 다 지워줘
필름이 끊기듯
시간아 부탁해 내 맘을 부탁해
추억따윈 모두 지워
이제는 아프지 않게
다시는 그 누구도
사랑을 할 수 없게

아무리 지우려 해도
내 심장이 말을 안들어
아직도 널 사랑하나봐
사랑아 부탁해 사랑아 부탁해
하루하루 지나가도
니가 너무 그리워서
미칠것같은 내 맘에서
제발 좀 나가줘
눈물아 부탁해 내 맘좀 부탁해
타는 듯한 내 심장이
눈물에 다 얼어붙게
다시는 사랑 앞에
바보가 되지 않게"
12,강승윤,당신께 쓰는 편지,"언제나 난 혼자였었죠
안에서도 밖에서도 혼자였죠
외로움에 홀로 울기도하고
짜증만 부렸어요 바보같이
미안해요 미안해요
말은 못했었지만 미안해요
이제 마음을 담아 말 할게요
당신이 주신 많은 선물을
당신이 주신 넓은 사랑을
미안하단 이작은 한마디도 하지못했던
나를 이젠 용서해주세요
사랑해요 사랑해요
표현이 서툴러서 사랑해요
하지못했던 그말 소리높여
당신이 주신 많은 선물을
당신이 주신 넓은 사랑을
사랑한단 한마디 말조차도
하지못했던 나를
이젠 용서해주세요
내가 외로울 때면
언제나 나의 힘이 되주시는 내 어머니
당신이 주신 많은 선물을
당신이 주신 넓은 사랑을
어떻게 해야할진 모르지만
그래도 나 노력할게요
정말 사랑해요"
13,멜로디데이 (MelodyDay),그때처럼,"매일 기다리다 끝내 울어보다
말 없이 혼자 아프죠
내게 그런 행복들 쉽게
올 리 없다고 미련하게 되 묻죠
다시 아프긴 싫어서 차마
내 맘 보여주기가 겁나서
아무리 괜찮은 척 웃어도
내 가슴이 자꾸만 나를 울리죠
그대 나를 보고 있나요
내 맘이 보이나요
참고 또 참아봐도 미칠 듯 아파서
버리고 또 지워도 제자린걸요
돌아와 다시 날 안아줘 그때처럼
이젠 괜찮다고 정말 괜찮다고
한 없이 혼자 삼키죠
내겐 이런 시련들 아무렇지 않다고
수 없이 말했었죠
다신 못 볼 거 같아서
더는 곁에 머무를 수가 없어서
아무리 떼어내려 해봐도
깊게 배인 그리움 번져만 가죠
그대 나를 보고 있나요 내 맘이
보이나요 참고 또 참아봐도
미칠 듯 아파서
버리고 또 지워도 제자린 걸요 이
사랑 기억할 수 없게 멀리 떠나가요
부디 이것만은 잊지말아요
그대만이 날 살게하는 이유였다고
곁에 있어 준 사람 살게 해 준
그 사람 숨 죽여 바라봐도
그리운 그 사람
가슴속에 그 사랑 채울 수 없어
돌아와 다시 날 안아줘 그때처럼"
14,Various Artists,백만 송이 장미 (드라마 나의 아저씨),[가사 준비중]
15,윤미래,그대 그대 그대,"내 안에 그대가 내게 다가올 때
내 가슴이 이토록 떨릴 줄 몰랐어
긴 하루가 또 저물어
그대를 마주할 때
더 안아주도록 해 줘요
사랑이란 그 단어로
다 표현 못해도
벅차다는 그 이유로 다 알 수 없어도
그저 변함 없이 그대 곁에
계절이 변해도 그대 곁에
그대 그대 그대
영원할 테니까
슬픔이 없는 곳 그곳에 그대와
또 아픔이 없는 곳 영원히 그대와
언제라도 소리치면
그대에게 들리게
항상 내 곁에서 살아요
사랑이란 그 단어로
다 표현 못해도
벅차다는 그 이유로 다 알 수 없어도
그저 변함 없이 그대 곁에
계절이 변해도 그대 곁에
그대 그대 그대
영원할 테니까
영원할 테니까
단 한 사람 그대라서
놓을 수 없어요
단 하나의 그 이유로
보낼 수 없어요
그저 변함 없이 그대 곁에
계절이 변해도
그대 그대 그대
my love my love my love
영원할 테니까
사랑할 테니까"
16,재만 (JAEMAN),Another Me,"선명하게 남아있던
날이 선 네 마음 속에
담겨있던 상처들이 날
찔러도 Yes I'm okay
싸늘함이 번진
내 그림자 위에
눈물을 보기 전에 Oh
Love me or another me
Love me or another me
I’ll never show you another face
Just turn away my babe
Love me or another me
Love me or another me
잃어버린 내 표정이
너를 본다면
어렴풋이 남아있던
파여진 시간 속에
덧난 기억들을 모아
애써 맞춰보지만
아찔하게 놓인
눈으로 바라보면서
내 진심을 바라던 너 Oh
Love me or another me
Love me or another me
I’ll never show you another face
Just turn away my babe
Love me or another me
Love me or another me
잃어버린 내 표정이
너를 본다면
여전히 혼자 남아
시간 속에 갇혀 해매는
내 손을 잡아줘
아직 헤매는
나를 꽉 안아줘
나를 꽉 안아줘
도망가지마
저 멀리 멀어진 너
oh babe
Love me or Love another me
Love me or Love another me
바래진 우리 모습이
No no no
선명하게 살아있던
우리의 추억 속에"
17,영지,사랑 얘기,"잠시 스친 바람결에도
네가 날 부른 것 같아
닮은 뒷모습에 또 주저앉은
이 가슴만 떼어 낼 수 있다면
이미 다 끝난 우리 사랑 얘기
흔한 이별이 돼버린 이야기
넌 이미 다른 사랑 중이니까
내겐 아직 슬픈 얘기지만
하루라도 빨리 잊어줄게
혹시 한번 너와 마주칠까
추억을 따라 걸었어
마치 운명처럼 너를 봤어
부르지 못했어 혼자가 아니라서
널 잊지 못한 슬픈 사랑 얘기
흔한 이별이 아닌 내 이야기
벌써 넌 다른 사랑 중이니까
너무 가슴 아픈 얘기지만
하루라도 빨리 잊어줄게
우리가 함께 걸었던
추억의 거리를
내가 아닌 다른 둘이 걸어가
이루지 못한 슬픈 사랑 얘기
숨이 멎을 듯 아픈 내 이야기
너 떠난 이별 길에
혼자남은 내 가슴은
너를 지우고 또 지워봐도
다시 너로 가득 채워지는 얘기
혼자 하는 슬픈 사랑 얘기"
18,이정민,봄 같은 너,"봄 같은 너 따듯한 너
향기로워 너에게 빠질 것 같아
이상하게 나도 봄을 타나 봐
옆에만 있어도 떨려
아이처럼 환하게 웃는 널 보면
미소 짓게 돼 이렇게 활짝
숨겨볼래 내 마음 감출래
눈치 빠른 너에게 들킬 거 같아서
Oh spring 간질간질해
Oh spring 너에게 빠질래
Oh spring 봄을 닮은 너에게 끌릴래
Oh spring 몽글몽글해
Oh spring 네게 설레볼래
Oh spring 쉬었던 내 맘이
봄을 타나 봐
너와 함께 걸어볼래
따듯한 날 벚꽃거리를 말이야
관심 없이 지나버린 계절도
이제는 모두 소중할 거야
아이처럼 환하게 웃는 널 보면
미소 짓게 돼 이렇게 활짝
숨겨볼래 내 마음 감출래
눈치 빠른 너에게 들킬 거 같아서
Oh spring 간질간질해
Oh spring 너에게 빠질래
Oh spring 봄을 닮은 너에게 끌릴래
Oh spring 몽글몽글해
Oh spring 네게 설레볼래
Oh spring 쉬었던 내 맘이
봄을 타나 봐
spring of you has come to me
i feel happy when I see
같은 계절을 너와 함께해
Sweet love slowly come to me
feel like walking on a flower
봄이 이런 건가 봐
꽃이 물든 이 설렘은
계절이 준 따듯 한 선물이야
매일 바라왔던 포근한 맘속 봄이
너라는 게 설레어"
19,정홍일,사랑 그 쓸쓸함에 대하여,"다시 또 누군가를 만나서
사랑을 하게 될 수 있을까
그럴 수는 없을 것 같아
도무지 알 수 없는 한 가지
사람을 사랑하게 되는 일
참 쓸쓸한 일인 것 같아
사랑이 끝나고 난 뒤에는
이 세상도 끝나고
날 위해 빛나던 모든 것도
그 빛을 잃어버려
도무지 알 수 없는 한 가지
사람을 사랑한다는 그 일
참 쓸쓸한 일인 것 같아
사랑이 끝나고 난 뒤에는
이 세상도 끝나고
날 위해 빛나던 모든 것도
그 빛을 잃어버려
누구나 사는 동안에 한번
잊지 못할 사람을 만나고
잊지 못할 이별도 하지
도무지 알 수 없는 한 가지
사람을 사랑한다는 그일
참 쓸쓸한 일인 것 같아
참 쓸쓸한 일인 것 같아"
20,우예린,화월(火越),"작열하는 태양에
끓는 대지 위로
아지랑이 피어나
춤을 추는데
바삐 도는 바늘에
님 놓칠세라
돌아가는 두 눈에
앞이 보이지 않네
밤이 짙어지고
해가 떨어지고
열이 식어가고
나는 제자리에
달이 차오르고
빛이 비쳐오고
열이 식어가고
나는 제자리에
님 기다리네
뒤틀리는 시야에
타는 갈증 위로
신기루는 사라져
믿음은 산산이 부서져가
밤이 짙어지고
해가 떨어지고
열이 식어가고
나는 제자리에
달이 차오르고
빛이 비쳐오고
열이 식어가고
나는 제자리에
산이 무너지고
땅이 갈라지고
열이 식어가면
꽃이 피어나네
달이 차오르고
빛이 비쳐오고
열이 식어가도
나는 제자리에
님 기다리네
님 기다리네"
21,김창연,너에게 말할게,"아득하게 보이는 너의 미소는
밤하늘의 별 같았어
이제야 말하는
나의 마음들을 알아줬으면 해
너의 미소에 나는 세상
모든것들이 행복해보여
지금처럼 있어줄래
너의 발걸음에 맞춰 걸어가
항상 이렇게 옆에서
언제 어디서라도
환하게 웃게해줄 나니까
이 손 잡을래
아무 생각도 없이
너와 걸을 땐 모든게 꿈만 같았어
행복히 웃는 네 미소도
전부 소중한 추억이니까
너의 발걸음에 맞춰 걸어가
항상 이렇게 옆에서
언제 어디서라도
환하게 웃게해줄 나니까
수 없이 또 넘어져도
널 일으켜 줄게
혼자 버티기 힘들 때면
편히 기대 쉴 수 있도록
운명이라 말 하고 싶었어 내 사랑아
눈부시게 나를 비춰준 너에게 말할게
행복을 알려준 널
영원히 사랑할게 평생을
어둡던 내 삶의 빛이 되주었던
너를 사랑해 언제나
꿈같이 다가왔던
너와의 기억들은 나에게
행복이니깐"
22,S.E.S.,I Will...,"오늘 하루도 몇시간 남지않았죠
난 그대 생각으로 온 하루를 써 버렸죠
나의 바램은 이루지 못한 꿈처럼
새벽을 그리다가 지쳐 잠이 들겠죠
난 정말 궁금했어요 하루에도 몇번씩
내가 보고 싶어 하는 맘을 알고 있나요
그대 안에서 나는 숨을 쉴수 조차 없어요
당신의 넓은 가슴 안에 잠든 꿈이 깰까봐
작은 소리로 말할꺼예요
그댈 사랑해
baby you will love forever my love~

키작은 연필로 가득히 써내려 갔죠
모자라는 마음들이 채워 질수 있도록
그래요 하지만 그게 잘 않되나봐요
아직 나에 사랑도 키가 작은 건가요
온종일 기다렸어요 혹시라도 한번쯤
잘못 누른 번호만이라도 걸려 와주길
그대 안에서 나는 숨을 쉴수조차 없어요
당신의 넓은 가슴 안에 잠든 꿈이 깰까봐
작은 소리로 말할꺼예요 그댈 사랑해
baby you will love forever
만약 그대가 내 곁에 없다면
나는 울다지쳐 쓰러지고 말겠죠
그대가 준사랑이 내갠 얼마나 소중한지
이젠 알것 같아요 영원하게 할께요

그대 안에서 나는 숨을 쉴수조차 없어요
당신의 넓은 가슴안에 잠든 꿈이 깰까봐
작은소리로 말할꺼예요
그댈 사랑해
baby you will love forever my~love~"
23,윤종신,수목원에서,"수다떠는 아줌마들처럼 웃는 새들과
누굴 애타게 찾는 것처럼 울어대는 벌레들
여전해요 그대와 거닐었던 그날
그대로의 모습을 간직한 추억의 숲속길
나뭇가지 사이 숨어든 따스한 햇살
너무 푸르름이 뿜어내는 아찔한 산뜻함
여전해요 그대와 행복했던 그날
그대로의 향기를 간직한 채로
추억속의 길은 나를 인도하네요
나 괜찮아요 여기 그대없어도
혼자 걷는 이 기분 아주 그만인걸
늘 그대 인생 푸른 날만이 있도록 빌어줄께
나 정말 편한맘으로 찾아온 수목원에서

우리 사진속의 그 나무들은 많이 자랐네
찌든 가슴안고 들이 마셨던 싱그런 풀내음
여전해요 그대와 행복했던 그날
그대로의 향기를 간직한 채로
추억속의 길은 나를 인도하네요
나 괜찮아요 여기 그대없어도
혼자 걷는 이 기분 아주 그만인걸
늘 그대 인생 푸른 날만이 있도록 빌어줄께
나 정말 편한맘으로 찾아온
나 괜찮아요 여기 그대없어도
혼자 걷는 이 기분 아주 그만인걸
늘 그대 인생 푸른 날만이 있도록 빌어줄께
나 정말 편한맘으로 찾아온 수목원에서"
24,김돈규,슬픈 인연,"나의곁으로 다시 돌아올꺼야

멀어져가는 저 뒷모습을 바라보면서
난 아직도 이순간을 이별이라 하지 않겠네
달콤했었지 그 수많았던 추억속에서
흠뻑젖은 두마음을 우린 어떻게 잊을까
아 다시 올꺼야 너는 외로움을 견딜 수 없어
아 나의 곁으로 다시 돌아올꺼야
그러나 그 시절에
너를 또 만나서 사랑할 수 있을까
흐르는 그 세월에
나는 또 얼마나 많은 눈물을 흘리려나
달콤했었지 그 수많았던 추억속에서
흠뻑젖은 두 마음을 우린 어떻게 잊을까
아 다시 올꺼야 너는 외로움을 견딜 수 없어
아 나의 곁으로 다시 돌아올꺼야
그러나 그 시절에
너를 또 만나서 사랑할 수 있을까
흐르는 그 세월에
나는 또 얼마나 많은 눈물을 흘리려나"
25,박강성,홀로 가는 길,"나는 떠나고싶다 이름 모를 머나먼곳에~
아무런 약속없이 떠나고픈 마음따라 나는 가고싶다
나는 떠나가야해 가슴에 그리움 갖고서
이제는 두번다시 가슴아픔 없을곳에
나는 떠나야해 나를 떠나간님의 마음처럼
그렇게 떠날순없지만~ 다시 돌아온단 말없이
차마떠나가리라~ 사랑도 이별도 모두다지난일인걸
지나간날들 묻어두고 떠나가야지~
나를 떠나간님의 마음처럼
그렇게 떠날순없지만~다시 돌아온단 말없이
차마떠나가리라~ 사랑도 이별도 모두다지난일인걸
지나간날들 묻어두고 떠나가야지~"
26,조성모,다음 사람에게는,"Na

(그녀가 떠나버렸다 어디로 간다는 말한마디 없이

그리고 그녀는 이렇게 눈물로 썼을

편지한통만을 남겨놓았다.)



그러지마요 다음사람에게는

이별의 얘긴

그대가 직접 전해요

이렇게 친굴 대신보내

비참한 눈물 흘리게

하지마요



그러지마요 다음사람에게는

그댄 날 함께 있어도

외롭게 했죠

가끔은 내가 아는 그대

정말 맞는지 남보다

멀게 느껴졌죠



그댄 술 취해야만 내가 보고싶다 했죠

나는 그게 싫었던거죠

내가 한번이라도

생각난적 있었나요

그대가 기쁜 순간에도



다음 사람에게는

아프게 하지말아요

난 비록 이렇게 떠나가지만

다음 사랑은 행복하기를 빌어요

그래도 사랑한 그대니까요



(그녀의 글씨위로 번져가는

나의 눈물 때문에

그녀의 편지를 더는

읽어내려갈 수가 없다.

하지만 하지만

이글 마지막

어딘가에라도

그녀가 다시 돌아오겠다는

그말을 남겨 놓았을 것 같아

나는 여기서

편지를 접을수가 없다).



내가 힘들때마다

그댈 기대고 싶어도

그댄 곁에 없었잖아요

항상 그댄 주위에

아무도 없을때에만

그제야 날 찾았잖아요





(돌아와야 해 다시 내게로 이대로 너를 보낼순 없어)

제발 돌아와줘

(다음 사람은 내게는 없어)

내 다음 사랑은

다시 너일테니까.."
27,김종국,선물,"어쩌면 다행인 것 같아
약속대신 다짐만 한 걸
약속이 남아있었다면
맘이 참 무거웠을텐데
입안에 익숙한 니 이름
물 한 모금에도 아려와
자꾸만 난 눈물이 흘러
잊을 준비를 하는가 봐
넌 시작부터 나를 기쁘게 했고
등 뒤에선 울게한 너
정해진 사랑인 걸
너무나 잘 알기에
너를 안아도 안 울었어
널 사랑하기에 널 놔주는 거야
날 보며 우는 니가 싫어
내게 길들은 가슴은 지워
네 옆에 있는 사람으로
널 사랑하기에 널 이해하기에
마지막 이순간까지도
난 행복했단 말조차
사랑만큼 아껴
난 눈물짓고 살겠지
두 눈에 널 새길 때부터
고운 가시처럼 남은 너
애써 널 꺼내려 할수록
더 깊이 파고 들어왔어
니 손가락을 항상 볼 때마다
난 네 외로움을 보았지
눈물로 만들었던
투명한 반지만이
너에게 준 내 선물 같아
널 사랑하기에 널 놔주는 거야
날 보며 우는 니가 싫어
내게 길들은 가슴은 지워
네 옆에 있는 사람으로
널 사랑하기에 널 이해하기에
마지막 이순간까지도
난 행복했단 말조차
사랑만큼 아껴
난 눈물짓고 살겠지
눈물 찰 때마다 가슴에
눌러놓은 한마디 사랑해
날 떠나가는 건 참 잘하는 거야
나 땜에 많이 힘겨운 너
나를 만나던 그 시간보다
더욱 더 예뻐지길 바래
날 기억하지마 날 떠올리지마
다가올 사랑만 바라봐
네 웃음조차 가리는
못난 나 때문에
너 눈물짓고 살지마
나를 잊어도 돼
맘 편히 웃으며 떠나"
28,이정희,바야야,"바야야 바야야
나를 보면서 너를 생각하네
바야야 바야야
노래 하면서 너를 생각하네
물새가 날으는 바다를 보면서
앞날을 얘기 하던 너
길위에 구르는 낙엽을 밟으며
지금은 떠나버린 너
바야야 바야야
나는 지금도 너를 생각하네
바야야 바야야
언제까지나 너를 생각하네

물새가 날으는 바다를 보면서
앞날을 얘기 하던 너
길위에 구르는 낙엽을 밟으며
지금은 떠나버린 너
바야야 바야야
나는 지금도 너를 생각하네
바야야 바야야
언제까지나 너를 생각하네
바야야 바야야
나는 지금도 너를 생각하네
바야야 바야야
언제까지나 너를 생각하네
바야야 바야야
나는 지금도 너를 생각하네"
