,가수,제목,가사
10,이문세,오늘 하루,"밥한그릇 시켜놓고
물끄러미 바라본다
오늘 하루 내모습이 어땠었는지
창가에 비쳐지는 건
나를 보던 내모습
울컥하며 터질 듯한 어떤 그리움
그리운 건 다 내잘못이야
잊힐줄만 알았는데
이렇게 생각이 다시 날걸
그땐 알 수 없었어

고개숙여 걸어가는
나를 보던 가로수
실례지만 어디로 가시는 겁니까
나는요 갈곳도 없고
심심해서 나왔죠
하지만 찾고 싶은 사람이 있어요
그렇지 내가 말해줬지
잊힐줄만 알았다고
이렇게 바람이 부는 날엔
날리어 다시 갔으면

맑은 밤하늘엔 별이
편안히들 웃고있어
저렇게 나도 한번 웃어 봤으면
어둠속에 비치는 건
흐르는 나의 눈물
차가운 주먹에 훔쳐 뒤로 감추네
그리운 건 다 내잘못이야
잊힐줄만 알았는데
이렇게 생각이 다시 날걸
그땐 알 수 없었어"
11,하동균,눈물소리,"뚝뚝 눈물소리
매일 부지런히 들리는 소리
나의 눈을 자꾸 어지르고
너에게 도망을 치는데
뚝뚝 흐르고 흘러
눈물이 하염없이 흐르고 흘러
나란 사람 많이 약하다는 걸
내 눈물이 내게 말을해
아마 이러다 미칠 것 같아
나쁜 니가 남긴 아픈 이별에
점점 커져만 가는
소란한 눈물소리는
나를 언제쯤에 영영 떠날까
뚝뚝 나를 두드려
기억이 멍들만큼 나를 두드려
너란 사람 보고싶어 하는 걸
내게 여기 내게 말을해
아마 이러다 미칠 것 같아
나쁜 니가 남긴 아픈 이별에
점점 커져만 가는
소란한 눈물소리는
나를 언제쯤에 영영 떠날까
이미 늦은 거라서 부디 잊어 달라던
니가 떠난 그날에 사는 나

이러다 난 죽을 것만 같은데
너를 기다리는 일
조금 더 해볼 수 있게
제발 내 눈물을 그만 그쳐줘"
12,태연 (TAEYEON),들리나요,"조금만 아파도 눈물나요
가슴이 소리쳐요
그대 앞을 그대 곁을 지나면
온통 세상이 그대인데
그대만 그리는데
그대 앞에선 숨을 죽여요
내게 그대가 인연이 아닌 것처럼
그저 스치는 순간인 것처럼
쉽게 날 지나치는 그대 곁에
또 다가가 한걸음 조차
채 뗄 수 없을지라도
서성이게 해 눈물짓게 해
바보처럼 아이처럼
차라리 그냥 웃어 버려
점점 다가설수록
자꾸 겁이 나지만
이 사랑은 멈출 수가 없나봐
왜 내 사랑만 더딘거죠
내 사랑만 힘들죠
그대 앞에 그대 곁에 있어도
온통 세상이 그대인데
그대만 보이는데
그대 앞에서 난 먼 곳만 봐요
내게 그대가 꼭 마지막인 것처럼
내겐 마지막 순간인 것처럼
쉽게 날 지나치는 그대 곁에
또 다가가 한걸음 조차
채 뗄 수 없을지라도
서성이게 해 눈물짓게 해
바보처럼 아이처럼
차라리 그냥 웃어버려
점점 다가설수록
자꾸 겁이 나지만
이 사랑은 멈출 수가 없나봐
먼 발치서 나 잠시라도
그대 바라볼 수 있어도
그게 사랑이죠
혹시 이 기다림이
이 그리움이
닿을 때면 들릴 때면
차라리 모른 척 해줘요
그대에게 갈수록
자꾸 겁이 나지만
이 사랑은 멈출 수가 없네요"
13,"장혜진, MC 스나이퍼",나쁜사람,"지금 이 순간 사랑에 데여
눈이 멀고 심장이 멈춰도
시련의 옷을 벗고
내감정은 바람타고 떨어지는 벗꽃
차오르는 눈물 뒤로
난 내 길을 걷고
멈출 수없는 질긴 사랑의 발걸음
그 흘린 미소라도 좋아
난 너를 알거든
온몸으로 맞는 슬픔 이 짙은 아픔
물거품처럼 사라지는 기쁨
마음의 고뿔
그대는 나쁜 사람
모른척 아닌척 외면해도
자꾸만 내 눈에 밟히는 그런 사람
그대는 참 나쁜 사람
그대는 아픈 사랑
차가운 내 맘을 안아놓고
숨죽여 눈물을 삼키게 만든 사람
그대는 아픈 사랑
멋대로 사랑을 새겨놓고
사랑이 가슴을 멍들게 해
바보처럼 손을 내밀어도
숨어 버리는
그대는 참 나쁘다
그대는 나쁜 사람
지우려 잊으려
애를 써도
미칠 듯 그립고
그립게 만든 그 사람
그대는 나쁜 사람
가슴이 운다 이사랑은 날 할퀴고
문다 심장에 멍이지고 나면
꽃피길 꿈꾼다
옷을 벗는 저 계절마져도
그때가 되면 온다
오도가도 못하게
넌 왜 날 묶어둘까
결빙된 마음속엔 빛이 들지 않아
더 볼수없는 사랑인지라
그져 눈을 감아
한밤중에 퍼덕이는 새들의 날개짓
저새들처럼 날고싶은 내맘은 알런지
그대는 슬픈 사랑
눈물에 가려진 별빛처럼
멀리서 내 곁을 맴도는 그런 사람
그대는 슬픈 사랑
멋대로 사랑을 새겨놓고
사랑이 가슴을 멍들게해
바보처럼 손을 내밀어도
숨어 버리는
그대는 참 나쁘다
그대는 나쁜 사람
모른척 아닌척 외면해도
자꾸만 내 눈에 밟히는
그대란 사람
그대는 나쁜 사람
이 아픔을 견디고 나 그대에게 가리
이세상이 등져도 난 거침없이 가리
그대라는 이유로 바다위 표류도
두렵지않아 그 무엇이
내영혼을 가둬도
숨죽여 눈물을 삼키게 만든 사람
그대는 아픈 사랑
그대는 나쁜 사람"
14,태사비애,"결혼식 축가 (Feat. 선영, 고운, 연경)","오늘 우리 둘
드디어 결혼 하는 날이예요
그 동안 많이 다투기도 하고
서로 상처 주는 일도 많았지만
저희 둘 결국은
하나라는걸 깨닫게
되는 날입니다
우리 둘 사랑하면서
행복하게 잘살겠습니다
오늘 우리 두 사람
결혼식을 하는 날이죠
오늘부터 우리 둘
하나 되는 날이죠
난 예쁘고
그댄 너무 매력적이죠
넌 평생을 난 영원히 stay
사랑해 난 너를 사랑해
우리 두 사람
평생 사랑하며 love forever
내 전부를 주어도
아깝지 않은
그댄 나의 사랑 oh
때로는 말다툼하고
서로 맘이 상해서
화도 내겠죠
그럴 땐 우리 오늘 이날을
생각하며 참아요
행복한 날들
사랑해 난 너를 사랑해
우리 두 사람
평생 사랑하며 love forever
내 전부를 주어도
아깝지 않은
그댄 나의 사랑 oh
listen 나의 사랑 그대여
언제까지나
anybody nothing stop
I`m go to the ever forever
you lovely you friendly
wanna be wanna be
사랑해 난 너를 사랑해
우리 두 사람
평생 사랑하며 love forever
내 전부를 주어도
아깝지 않은
그댄 나의 사랑 oh
anybody nothing stop
I`m go to the ever forever
you lovely you friendly
wanna be wanna be
사랑하며 love forever
내 전부를 주어도
아깝지 않은
그댄 나의 사랑 oh"
15,먼데이 키즈 (Monday Kiz),가슴 시린 날,"어디엔가 남아있을 기억들
어디엔가 멈춰있을 순간들
그 모든 것 시간에 다 흩어져가도
넌 내 맘에 늘 내 눈에 고여 있었어
널 보냈던 이 거리 에일듯한
그 바람소리
날 아프게 아프게 흔들 때마다
니가 흘러내려와
울컥 그리워서 가슴 시린 날
니가 생각나서 눈물겨운 날
조금은 다행이야 추억이 많아서
울렸던 만큼 또 나를 웃게 해
여전히 난 너의 온길 느끼고
여전히 난 너의 얘길 되뇌고
여전히 난 너의 자릴 지키며 살아
너 아니면 그 누구도 난 안되니까
널 만났던 이 거리
햇살 닮은 니 웃음소리
또 한 걸음 한 걸음 뒤돌 때마다
다시 날 설레게 해
울컥 그리워서 가슴 시린 날
니가 생각나서 눈물겨운 날
조금은 다행이야 추억이 많아서
울렸던 만큼 또 나를 웃게 해
한땐 죽도록 사랑한 시간
한땐 그토록 아파한 시간
살다가 한번 씩 가슴 시린 날
스치듯 기억해줘
그래도 다행이야 추억이 많아서
그리운 만큼 또 하룰 살게 해"
16,김보경 (NEON),그댄가봐요,"버려도 때론
나마저 날 버릴 때
그댄 내 편이네요
걸어도 끝이 없는 이 길에
손 잡아줄 그대 있네요
내가 짐이 될까 두려워
밀어내려 애를 써봐도
저 하늘 빛이 되어
그댄 떠오르네요
난 몇 번을 그댈 알아봐요
덕분에 내가 살아가요
그대의 목소리
난 쉼없이 따라가요
천 번을
밀어내려 해도
끌려가네요
그 눈에 내가 비춰있네요
물어도 대답 없는 세상에
그대만이 곁에 있네요
그댈 부를까 봐 두려워
손을 가려 입을 막아도
가슴에 그대 이름
자꾸 되뇌이네요
난 몇 번을 그댈 알아봐요
덕분에 내가 살아가요
그대의 목소리
난 쉼없이 따라가요
천 번을
밀어내려 해도
끌려가네요
난 그댈 바라보고 있네요
무너져 내린 길 위에
나를 지켜주던
그 한 사람
너무 고마운 단 한 사람
날 지켜줄 그댈 바라봐요
그 이름 가슴이 알아요
그대의 숨소리
어김없이 알아봐요
천 번을 내게 물어봐도
그댄가 봐요
나를 살게 해줄
날 숨쉬게 해줄
그대란 걸"
17,박화요비,Promise (With 나얼),"말하지 못하는 그대
나는 사랑하고 있죠
그대와 작은 손짓도
내겐 너무 소중하죠
하지만 그대 울기만 하죠
우릴 힘들게 하는
모질기만 한 세상 속에
얼마나 아파해야 하나요
그대의 눈물로
얼룩져야만 할까요
그대 자꾸 울지 말아요
나를 포기하지 말아요
세상이 우릴 허락하진 않지만
난 견딜 수 있죠
하지만 그대 울기만 하죠
우릴 힘들게 하는
모질기만 한 세상 속에
얼마나 아파해야 하나요
그대의 눈물로
얼룩져야만 할까요
그대 자꾸 울지 말아요
나를 떠나가지 말아요
영원 하자던 우리의
그 약속을 꼭 지켜줄게요
그댄 어떤 말도 할 수 없지만
그 어떤 소리도 들리지 않지만
그댈 대신할 수 있는 사람은
사랑하는 그대 하나뿐이죠
얼마나 아파해야 하나요
그대의 눈물로
얼룩져야만 할까요
그대 자꾸 울지 말아요
나를 떠나가지 말아요
영원 하자던 그대와
내 약속을 꼭 지켜줄게요"
18,바버렛츠 (The Barberettes),It's Magical (Feat. Harim),"아침이 오면 나른한 내 몸을
못 이기는 채 하며 잠깐 웅크린 채
누군가 대신 창문 열어주면 좋겠어
정다운 식탁의 달그락 소리
뚝딱 해치우는 실력
그렇게 난 좋아
It's magical It’s my life
싱그러운 햇살 비추는 내 방
시끄런 오 주방에서 난 소리
그것도 난 좋아
행복한 하루가 오늘도
찾아왔으니까 Alright
아침이 오면 나른한 내 몸을
못 이기는 채 하며 잠깐 웅크린 채
누군가 대신 창문 열어주면 좋겠어
정다운 식탁의 달그락 소리
뚝딱 해치우는 실력
그렇게 난 좋아
It's magical It’s my life
싱그러운 햇살 비추는 내 방
시끄런 오 주방에서 난 소리
그것도 난 좋아
행복한 하루가 오늘도
찾아왔으니까 Alright
싱그러운 햇살 비추는 내 방
시끄런 오 주방에서 난 소리
그것도 참 좋아
행복한 하루가 오늘도
찾아왔으니까 Alright"
19,버블 사운드 (bubble sound),좋아할까 아닐까,"너를 처음 본 그 순간
너에게 좋은 향기가 났어
설레이는 니 모습
두근거리는 내 맘
나도 모르게 널 좋아하나 봐
날 좋아할까 아닐까 고민해봐도
애꿎은 나뭇잎만 떼고 있는
내가 너무 미워
널 좋아하는 내 맘을 전하고 싶은데
내 마음을 넌 알까
너를 좋아한 그 순간
항상 너만 바라보고 있어
설레이는 니 눈빛
두근거리는 내 맘
그래 나는 널 정말로 좋아해
날 좋아할까 아닐까 고민해봐도
애꿎은 나뭇잎만 떼고 있는
내가 너무 미워
널 좋아하는 내 맘을 전하고 싶은데
내 마음을 넌 알까
좋아해 라는 얘기가
어려운 말인걸 몰랐는데
내 마음 숨기기 싫어서 그래
우리 둘이 항상 함께할래
그래 줄래
날 좋아할까 아닐까 고민해봐도
애꿎은 나뭇잎만 떼고 있는
내가 너무 미워
널 좋아하는 내 맘을 전하고 싶은데
내 마음을 넌 알까"
20,문빛,첫고백,"오늘도 너를 생각해
밤이 새도 모자랄 만큼
해맑았던 그대의 그 예쁜 미소가 난
한없이 설레이죠
심장이 두근거릴 만큼
어느샌가 이유 없이
보고 싶어진 그날부터겠죠
사랑인 걸까요
처음 느껴본 설렘에
어색한 마음을 감출 수가
없는 이상한 기분
그때야 깨달았죠 사랑이라는 걸
수줍었던 내 첫사랑이 이런 걸까요
내일도 나는 너에게
하고 싶었던 그 말들을
하나둘씩 조심스럽게
써 내려가는 이 맘을
언젠가 그대에게
이 말을 꼭 전하고 싶어
처음 만난 그 순간부터
난 지금까지 그댈 좋아해요
사랑하고 있죠
왠지 가슴이 뛰는 게
혹시나 그대도 나와 같은
생각을 하고 있을까
이 떨리는 마음이 같았으면 싶어
설레었던 내 첫사랑은 이런 거예요"
21,윤원,내일 더 빛날 너에게,"하루가 힘들어
누군가의 품이 그립고
기대고 싶을 때
아무 말 없이 내게로 와
숨 막힐 듯 답답한 맘
어루만져 위로가 될게
네가 가진 슬픔의 반 내가 가져가서
너의 노래가 될게
오늘보다 내일이 더
빛나는 네가 될 거야
흔들리지 말고 지금 네 모습
그대로 있어주면 돼
혼자라는 생각이 널
가끔 힘들게 하면
가장 사랑하는 사람들과
너를 응원하는
나와 이 노래가 곁에 있잖아
모두 잠든 밤에
나 혼자 잠에서 깨어나
텅 빈 나의 맘을
애써 감추려곤 했었죠
쉴 틈 없이 달려왔던
지난날의 위로가 될게
잠시나마 편히 쉬어 갈 수가 있게
너의 노래가 될게
오늘보다 내일이 더
빛나는 네가 될 거야
흔들리지 말고 지금 네 모습
그대로 있어주면 돼
혼자라는 생각이 널
가끔 힘들게 하면
가장 사랑하는 사람들과
너를 응원하는
나와 이 노래가 곁에 있잖아
woo
i will be your friend
woo woo
때로는 혼자서 가는 이 길이
멀고도 험하겠지만
지금이 아니면 느낄 수 없는
오늘 하루하루가
네게 더 소중할거야
보이지 않고
지칠 때도 있겠지만
충분히 잘해왔던 너였잖아
널 많이 믿어주면 돼
혼자라 생각하지마
언제나 곁에 있을게
너무 서두르지 않아도 돼
이미 누구보다
밝게 빛나고 있으니까 너는"
22,리제(이지혜),"나는 꽃, 너는 봄","나는 꽃 너의 맘에 피어나
어느 봄 꽃잎은 지고
담담한 얼굴로 이별을 쓰네
I know I know I know
나를 잊지 말아줘 이렇게
나를 떠나지 말아줘
흩어진 밤과 내 부서진 맘
슬픈 계절이 다시 오네
난 난
너는 봄 나를 피어나게 해
우리의 계절은 가고
간단한 말들로 이별을 주네
I know I know I know
나를 잊지 말아줘 이렇게
나를 떠나지 말아줘
흩어진 밤과 내 부서진 맘
슬픈 계절이 다시 오네
내게 빛이 되주던 사람이
내 곁에서 멀어져 가
거친 바람이 되고
모진 말들로 베어
꽃은 시들고 또 밟혀진 채
한철 피어나 사라져가
난 난 여기"
23,베이지,이별은 제자리를 찾아가는 일,"긴 긴 하루 노을 진 하늘
너 없이 보내는 시간에 익숙해져
아무 일도 없던 것처럼
이별은 제자리를 찾아가는 일
거리에 풍경은
모두 그대론데
나만 달라진 것 같아
I Miss You I Miss You
사실 네가 보고 싶어
함께했던 모든 게 선명한데
I Miss You I Need You
다정하게 부르던 목소리
다시 한번 듣고 싶어
느린 내 마음은
너에게 머물러
돌아올 수가 없나 봐
I Miss You I Miss You
사실 네가 보고 싶어
함께했던 모든 게 선명한데
I Miss You I Need You
다정하게 부르던 목소리
다시 한번 듣고 싶어
나만 이런 거니
벌써 넌 제자리에
사랑한 적 없던 것처럼
다 잊었나 봐 우우 우
I Love You Love You
멀리 흩어지는 말
내 입술에 지우지 못한 그 말
I Miss You I Need You
다정하게 안아주던 네가
오늘따라 보고 싶어"
24,더 데이지 (The Daisy),돌아오기만을 기다려,"익숙했던 우리의 공간들
아무렇지 않게 지나치지 못해
약속했던 우리 이야기들
이젠 다 소용없네
니가 돌아오기만을 기다려
하루가 일년같아 너 없이 사는게
그 누구도 너를 대신 할 사람
없단 걸 니가 알잖아
낯설게만 느껴진 오늘이
바람처럼 나를 스쳐지나가고
마음 속에 담은 너의 모습
왜이리 아픈거니
니가 돌아오기만을 기다려
하루가 일년같아 너 없이 사는게
그 누구도 너를 대신 할 사람
없단 걸 니가 알잖아
왜 이렇게 아프게 날 한거니
아직도 이러잖아 너 없이 힘든데
어떤 날은 미칠듯이 눈물나
사랑은 이제 끝났니"
