,제목,가수,가사
10,장마 (Rainy Season),손동운,"오늘 따라 하늘에선 그치지 않고
비가 계속 내리네요
내 맘도 하루 종일 멈추지 않고
네가 계속 내리네요
갑작스레 내리는 비를 피하지 못해
그냥 그렇게 나 흠뻑 젖어
우산도 없었으니까 어차피
젖을 운명이었던 거지
금방 지나가는
소나기 같았는데
한여름 장맛비처럼
온종일 주륵주륵
오늘 따라 하늘에선 그치지 않고
비가 계속 내리네요
내 맘도 하루 종일 멈추지 않고
네가 계속 내리네요
주르륵 주르륵
비가 계속 내리는 날
주르륵 주르륵
네가 계속 내리는 날
먹구름 몰려오면
이불 삼아 덮고서
여기서 기다릴게
네가 곧 올 테니까
똑똑 소릴 내며
떨어지는 이 비는
내 맘을 두드리더니
어느새 가득 채워
오늘 따라 하늘에선 그치지 않고
비가 계속 내리네요
내 맘도 하루 종일 멈추지 않고
네가 계속 내리네요
지금 이대로 네게 잠겨버린 대도
그치지 말고 마를 틈도 없이
계속 내려줘 너라면 난 괜찮으니까
오늘 따라 하늘에선 그치지 않고
비가 계속 내리네요
내 맘도 하루 종일 멈추지 않고
네가 계속 내리네요
주르륵 주르륵
비가 계속 내리는 날
주르륵 주르륵
네가 계속 내리는 날
주르륵 주르륵
주르륵 주르륵"
11,기대,세븐틴,"우리 마지막이 언제일지
알지 못하더라도
행여 무슨 일이 생겨서
보지 못하더라도
내게 기대 기대 기대
내게 기대 기대 기대
내게 기대 기대 기대
내게 기대
내가 네 마음에 있다면
정말 내가 네 마음에 있다면
네가 어디에 있든
I will follow you
서로 일에 치여 살며 자주 못 봐도
서로에게 취해 잠을 청하면
꿈속에선 망설이지 말고
내게 기대
우리 잘 참아내고 있으니
좀만 더 힘내
꿈에서 깨어나더라도
정말 내가 네 마음에 있다면
네가 어디에 있던 I'll be there
I'll be there
네 맘엔 항상 내가 있어
서로 힘들 때라면
더욱더 함께할게 My girl
Oh girl 넌 나의 정답
힘들 땐 손잡고
축 처진 어깨를 토닥토닥
Sometimes
삶에 지쳐 힘들 때 내게로 와
우리 마지막이 언제일지
알지 못하더라도
행여 무슨 일이 생겨서
보지 못하더라도
내게 기대 기대 기대
내게 기대 기대 기대
내게 기대 기대 기대
내게 기대
도 돼 어깨로 쏠리는 너의 고개
잠시라도 쉴 곳이 내가 된다는 게
힘든 것들을 싹 다 잊게 해줘 네가
행복이라 언제든 여기 비워둘게
누가 또 울렸어 못되게 굴었어
하나도 한 명도 빠짐없이 얘기해줘
이야기가 길어지더라도 밤새 계속
네 편이 되어줄게 기대 팔베개로
I'll be there
네 맘엔 항상 내가 있어
서로 힘들 때라면
더욱 더 함께할게 My girl
Oh girl 넌 나의 정답
힘들 땐 손잡고
축 처진 어깨를 토닥토닥
Sometime
삶에 지쳐 힘들 때 내게로 와
내게로 와
I know that it's so hard
나도 너와 똑같아
어렵다는 걸 잘 알지만 알지만
서로를 바라보며
한 걸음씩 천천히 걸어와
왜 걱정하고 있어
오지도 않을
우리 마지막이 언제일지
알지 못하더라도
행여 무슨 일이 생겨서
보지 못하더라도
내게 기대 기대 기대
내게 기대 기대 기대
내게 기대 기대 기대
내게 기대"
12,사랑하니까,더 크로스,"처음부터 알고 있었는데
언젠간 보내 줘야 한다고
그새 욕심이 나서
잠깐 바보가 되서
너를 갖고 싶어 했었나 봐
난 너에게 시간이 지나면
추억조차 못 될 사람인건데
그런데 널 못 잊어
내가 미쳤나 봐
오늘도 기다리나 봐
사랑하니까 사랑하니까
나 지워 봐도
넌 나의 전부니까
잊고 싶어도 잊고 싶어도
너와 다른가 봐 나는
널 떠날 수 없나 봐

사랑하다 이별에 아파도
시간으로 덮어 가면 되는데
이번엔 다른가 봐
덮어지지 않아
시간이 멈췄나 봐
사랑하니까 사랑하니까
나 지워 봐도
넌 나의 전부니까
잊고 싶어도 잊고 싶어도
너와 다른가 봐 나는 널
떠날 수 없나 봐

그래 죽는것 보다
니가 날 잊어 가는게
오늘도 난 두려워
사랑하니까 사랑하니까
나 지워 봐도 넌 나의 전부니까
잊고 싶어도 잊고싶어도
너와 다른가 봐
나는 널 떠날 수 없나 봐"
13,오빠나빠,Jessica (제시카),"다 아는데 난 아닌데
그래도 놓치기 싫은데
딱 한번만 내 말을 들어요
오빠 앞에선 여자란말이야
나랑 밥 한번 먹는게
그렇게 힘든가요
잊었다면서 혼자라면서
그 언닌 왜 만나나요
아직 나는 안되나요
많이 부족한가요
한번만 날 믿어봐요
내가 잘 할 수 있는데
왜 자꾸만 웃기만해요
내가 그렇게 애기 같나요
딱 한번만 내 진심 들어요
오빠 앞에선 여자란말이야
나랑 밥 한번 먹는게
그렇게 힘든가요
잊었다면서 혼자라면서
그 언닌 왜 만나나요
아직 나는 안되나요
많이 부족한가요
한번만 날 믿어봐요
내가 잘 할 수 있는데
하루에 만번 생각이 나요
눈물이나도 나 이렇게 참아
그댈 사랑하면
안될 이유라도 있나요
잊었다면서 혼자라면서
그 언닌 왜 만나나요
오빤 정말 나쁜사람
정말 내 맘을 몰라
날 믿어봐요
나도 잘 할 수 있는데"
14,짝사랑 (Feat. 폴킴),swai (스와이),"한참을 혼자서 맴돌았지
나만의 생각인 줄 모르고
하루하루가 너의 생각으로
가득한 나만의 날이었어
너를 사랑해선 안될 것 같아
혼자 널 바라보는 일도
너의 사랑 모두 끝난 뒤에
만날 수 있을까
그때까지 널 기다릴거라
말도 못하는 나는
잠들기 전에도 떠오르고
일어나면 생각나는 그 사람
하루하루가 우리 둘만으로
가득할 그 날이 언제 올까
너를 사랑해선 안될 것 같아
혼자 널 바라보는 일도
너의 사랑 모두 끝난 뒤에
만날 수 있을까
그때까지 널 기다릴거라
말도 못하는 나는
혼자 아픔뿐인 난
그 흔한 고백 한번 못하고
너를 이젠 지우려 하고 있어
너를 사랑해선 안될 것 같아
혼자 널 바라보는 일도
너의 사랑 모두 끝난 뒤에
만날 수 있을까
그때까지 널 기다릴거라
말도 못하는 나는
널 사랑해선 안될 것 같아"
15,난 당신의 고요함이,오왠 (O.WHEN),"난 당신의 고요함이
마음에 들었나 봐요
짙은 보라색을 띄는 듯한 표정
나는 그런 그대가 좋았고요
거센 바람 불어도 그대는 잔잔해
계절의 끝 움츠러든 겨울 같아서
장난스럽게 그대 맘을 두드려
놀라게 하거나 흐트러지지 않게
맘 속 담긴 잔이 넘치지 않게
오 나는 서두르지 않을 게요
해와 달처럼 간격을 맞춰 볼 게요
화려하게 빛나지 않아 더 좋았어
결이 같은 사람을 만나 웃게 되었지
장난스럽게 그대 맘을 두드려
놀라게 하거나 흐트러지지 않게
맘 속 담긴 잔이 넘치지 않게
오 나는 서두르지 않을 게요
해와 달처럼 간격을 맞춰 볼 게요
조금 돌아가도 돼
우린 손을 잡은 채 바람을 따라
그곳을 산책하듯 걸어가
햇빛이 드는 아침 창가에 앉아
스스럼없이 우리 대화를 나눠요
사소한 얘기 시간을 보내요
오 나는 당신이 가진 온도에
흐트러짐 없이 결을 맞춰 볼게요"
16,"다시, 봄",뉴이스트,"시간이 지난다면 괜찮을까요
계절은 추억이 되어 쌓이겠죠
사랑이란 건 기다림조차도 나를 (미소로 나를)
채워가죠 (매일 내 마음)

기억의 설렘 벅차오르듯
찬란한 우리 둘의 시간을
끌어안고 내딛는 우리 걸음마다
흔적이 드리우면

나도 모를 사이에 못 참을 만큼
네가 그리워서 보고 싶으면
그때, 난 어떡해

보고 싶은 맘 혼잣말 혼잣말
계절의 바람 그 위로 발자국처럼 남아서
보고 싶은 날 언젠가 언젠가
우리 다시 만날 봄의 너를 품는다

우리의 봄이 여전하게
세상이 모두 변해도 나는
변하지 않을 수 있어
추운 겨울이 모두 지난
3월이 되면 그곳에 서 있을게
다시 봄이 찾아오면

사랑을 알게 되면 아픔이 더
커진다는 말을 믿지 않아
우리의 정원에 가득 피어난 봄 꽃잎처럼
꽃잎처럼

나도 모를 사이에 못 참을 만큼
네가 그리워서 보고 싶으면
그때, 난 어떡해

보고 싶은 맘 혼잣말 혼잣말
계절의 바람 그 위로 발자국처럼 남아서
보고 싶은 날 언젠가 언젠가
우리 다시 만날 봄의 너를 품는다

시간 속을 내달리다
어디론가 더 멀어질까 봐 더욱더 겁나
내가 널 잊는 일
숨이 멈출 때까지 없을 거야

보고 싶은 맘 혼잣말 혼잣말 (혼잣말)
계절의 바람 그 위로 발자국처럼 남아서
보고 싶은 날 언젠가 언젠가
우리 다시 만날 봄의 너를 품는다

우리의 봄이 여전하게
세상이 모두 변해도 나는
변하지 않을 수 있어
추운 겨울이 모두 지난 3월이 되면
그곳에 서 있을게
다시 봄이 찾아오면"
17,다 잊어,박혜나,"하얀 눈 뒤덮인 산 위에
발자국 하나 없구나
그 누구도 없는 왕국
내가 이곳 여왕이야
내 안에 부는 바람 거친 폭풍을
막을 수 없어 애를 썼지만
마음 열지 마 들키지 마
착한 모습 언제나 보여주며
철저하게 숨겼는데
들켜버렸어
다 잊어 다 잊어
이젠 참지 않을 거야
다 잊어 다 잊어
문을 열고 나아갈 거야
괜찮아 누가 뭐라 해도
폭풍 몰아쳐도
추위 따윈 두렵지 않다네
거리를 두고 보면 모든 게
작아 보여
나를 두렵게 했던 것들
이젠 겁나지 않아
어디까지 할 수 있을까
내 능력 확인하고 파
내 마음대로 자유롭게
살래
다 잊어 다 잊어
하늘 바람과 살 테야
다 잊어 다 잊어
이제 다시 울지 않을래
당당히 살아갈래
폭풍 몰아쳐도
내 힘은 눈보라로 세상을 덮고
내 영혼 휘몰아치며 꽁꽁
얼려버리네
내 마음 가는 데로 모두 얼음 돼
돌아가지 않을래 과거는 과거야
다 잊어 다 잊어
이제 다시 일어설 거야
다 잊어 다 잊어
착했던 그 소녀
당당히 살아가리라
폭풍 몰아쳐도
추위 따윈 두렵지 않다네"
18,어제처럼 굿나잇,러블리즈,"내일부터 못 보면
너는 아무렇지 않을 거니
안녕이란 말로만 참 쉬운 것
매일 너의 목소린
내게 습관보다 무서운데
너 혼자서 준비하고
그런 얘기 하지마
화를 내면 정말로 끝일 것 같아서
애써 나는 웃지만 눈물이 나
어제처럼 굿나잇
아무 일도 없던 것처럼
이별대신 굿나잇
내일 니 맘 바뀔지 몰라
하룻밤만 안녕
내일은 다 괜찮을 거야
다신 안 볼 사람들 하는
그 안녕이 아닌 걸지도 몰라
지금 내가 울면 다 끝날 것 같아서
다른 생각 해봐도 눈물이 흘러
어제처럼 굿나잇
아무 일도 없던 것처럼
이별대신 굿나잇
내일 니 맘 바뀔지 몰라
하룻밤만 안녕
내일은 다 괜찮을 거야
다신 안 볼 사람들 하는
그 안녕이 아닌 걸지도 몰라
헤어지잔 말은 함부로
자꾸 꺼내면 안 되는 거야
전부 니가 했던 말
이제서야 겨우 난
너를 알 것 같은데
사랑인 것 같은데
미안하단 그 말
듣지 않은 얘기로 할래
하룻밤만 안녕
내일은 다 괜찮을 거야
다신 안 볼 사람들 하는
그 안녕이 아닌 걸지도 몰라
하지 말아 굿바이
그런 슬픈 낯선 얼굴로
나를 안아 봐봐
그럼 니 맘 바뀔지 몰라
니가 좋아했던
표정을 나 지어볼래도
자꾸 못난 얼굴로 눈물이 흘러서
너를 볼 수 없잖아"
19,내 사람,박보검,"내 마음 아시나요
내 눈물이 말하잖아요
내가 살아온 동안
내가 살아갈 동안
그댄 그댄
내 전부인 거죠
내 사람인 거죠
가슴 아픈 만큼
지우고 지워도
지울 수 없는 사랑
세상이 얼어도
멈추지 않을 사랑
차라리 내가
다 아파할게요
내 걱정 말아요
아프고 아파도 사랑이죠
난 행복하죠
영원한 나의 내 사람 그대니까
눈을 뜰 수가 없어
그대가 내 앞에 없을 땐
꽃이 피다 시들어
눈물에 내려앉은
그 밤처럼
두려움뿐이죠
두려움뿐이죠
가슴 아픈 만큼
지우고 지워도
지울 수 없는 사랑
세상이 얼어도
멈추지 않을 사랑
내 손을 꼭 잡아요
세상이 우리를 외면하여도
이 손 놓지 않을 거예요
가슴 아픈 만큼
지우고 지워도
지울 수 없는 사랑
세상이 얼어도
멈추지 않을 사랑
차라리 내가 다 아파할게요
내 걱정 말아요
아프고 아파도 사랑이죠
난 행복하죠
영원히 그댄 내사람 사랑해요"
20,Lie,방탄소년단,"내게 말해
너의 달콤한 미소로 내게
내게 말해
속삭이듯 내 귓가에 말해
Don't be like a prey
Be Smooth like a like a snake
벗어나고 싶은데
Ah woo woo
내게서 떠나 떠나 떠나줘
내게서 떠나 떠나줘
Ah woo woo
뭐라도 나를 나를 구해줘
나를 구해줘
계속돼 도망쳐봐도
거짓 속에 빠져있어
Caught in a lie
순결했던 날 찾아줘
이 거짓 속에 헤어날 수 없어
내 웃음을 돌려놔줘
Caught in a lie
이 지옥에서 날 꺼내줘
이 고통에서 헤어날 수 없어
벌받는 나를 구해줘
나를 원해
길을 잃고 헤매이는 나를
나를 원해
매일 그랬듯 나
I feel so far away
You always come my way
또 다시 반복돼 난
Ah woo woo
내게서 떠나 떠나 떠나줘
내게서 떠나 떠나줘
Ah woo woo
뭐라도 나를 나를 구해줘
나를 구해줘
계속돼 도망쳐봐도
거짓 속에 빠져있어
Caught in a lie
순결했던 날 찾아줘
이 거짓 속에 헤어날 수 없어
내 웃음을 돌려놔줘
Caught in a lie
이 지옥에서 날 꺼내줘
이 고통에서 헤어날 수 없어
벌받는 나를 구해줘
아직 나는 여전히 똑같은 나인데
예전과 똑같은 나는 여기 있는데
너무나 커져버린
거짓이 날 삼키려 해
Caught in a lie
순결했던 날 찾아줘
이 거짓 속에 헤어날 수 없어
내 웃음을 돌려놔줘
Caught in a lie
이 지옥에서 날 꺼내줘
이 고통에서 헤어날 수 없어
벌받는 나를 구해줘"
21,목련 필 무렵,신지훈,"목련이 필 무렵의 그대와 나
하고픈 말 망설여 긴긴밤을
걸으며 달래던 그 좁은 골목길 사이
너도 나도 피워내려 새하얘져 와
스치는 두 손등에도 놀라
발맞추던 한 뼘만큼의 거리는
겨우 가까워진 듯하다 멀어져 가네
서로 다른 봄이 만난 그 무렵 우린
청아했던 밤하늘 별빛 수줍어
남몰래 그대 발걸음 닿는 곳만
훔쳐보았네
설레는 마음에 다 설명하진 말아요
그저 모든 순간
바람 소리마저 아껴 가요
깜빡이던 가로등 밑 꽃피운 연인
표현할 수 없는 이 그리움
시간이 흘러서 피고 졌음에도 우린
그때보다 빛이 바래서 더 어우러져
청아했던 밤하늘 별빛 수줍어
남몰래 그대 발걸음 닿는 곳만
훔쳐보았네
설레는 마음에 다 설명하진 말아요
그저 손잡으면
우리는 다시 첫 모습 그대로
져가는 봄을 보내줘야 해도
우리 함께한 하루가 익숙해져 가도
이대로 둬도 되는 것 같아요
이제야 더 깊은
서로의 계절에 온 거예요
설렘에 가슴 뛰던 시절은 지나
꽃잎이 기다려 왔다는 듯
한없이 떨어져 가요
그러나 그대 날 그때처럼 봐주기에
그 골목길에 어린 낭만은
만개한 채로"
22,Blue Rain,바다 (BADA),"어딜 가면 볼 수 있는지
알고 있어도 나 갈 수 없는 건
아마 몰라보게 수척해진
내 모습 보고
놀란 가슴으로 걱정할까봐
날 두고 떠나갈 때
마지막 내게 했던
그대 기억으로 울지 말라는 약속
지킬 수 없을 까봐
네 맘에 없던 그 모진 말도
조금도 그댈 지울 수 없다는 걸
난 알고 있어 언제나 그대
내 곁에 와 잠드는 걸
비가 오던 어느 날 밤에
그대 싸늘하게 젖어 있었지
이 밤 지나면
날 못 볼 것만 같은 생각에
지친 몸으로 날 기다린 거야
더 이상 우산 속에
날 그냥 둘 수 없어
흘러내린 눈물 빗속에 감춰두고
그대 품에 안겼지
빗소리에 감추려 하는
그대의 울먹임을 알고 있어
내 어깨 위에 저 비가 아닌
그대의 눈물인 것도
한 번만 더 그대의 품에 안겨
맘껏 울 수 있다면
그대 잠든 곳에 언제나 찾아가서
끝없는 얘기 할 텐데
조금도 그댈 지울 수 없는걸
알고 있어 언제나 그대
내 곁에 와 잠드는 걸
내 곁에 와 잠드는 걸"
